{'Contradiction': 0.7734806629834254, 'Entailment': 0.9608404966571156}
{'Contradiction': 0.7586206896551724, 'Entailment': 0.9601518026565465}
{'Contradiction': 0.725, 'Entailment': 0.9588014981273408}
{'Contradiction': 0.7821782178217822, 'Entailment': 0.9571150097465887}
{'Contradiction': 0.7755102040816326, 'Entailment': 0.9573643410852714}
{'Contradiction': 0.7261904761904762, 'Entailment': 0.9566037735849057}
{'Contradiction': 0.7037037037037037, 'Entailment': 0.9549718574108818}
{'Contradiction': 0.7777777777777778, 'Entailment': 0.9525691699604744}
{'Contradiction': 0.6797385620915033, 'Entailment': 0.9544186046511628}
{'Contradiction': 0.7311827956989247, 'Entailment': 0.9520153550863724}
{'Contradiction': 0.6871165644171779, 'Entailment': 0.952112676056338}
{'Contradiction': 0.5547445255474452, 'Entailment': 0.9440879926672777}
{'Contradiction': 0.47244094488188976, 'Entailment': 0.9391462306993642}
{'Contradiction': 0.524822695035461, 'Entailment': 0.9383624655013799}
{'Contradiction': 0.3247863247863248, 'Entailment': 0.9288928892889289}
{'Contradiction': 0.22807017543859648, 'Entailment': 0.9210053859964094}
{'Contradiction': 0.16981132075471697, 'Entailment': 0.9215686274509803}
{'Contradiction': 0.0, 'Entailment': 0.9161518093556928}
{'Contradiction': 0.0, 'Entailment': 0.9161518093556928}
{'Contradiction': 0.6083650190114068, 'Entailment': 0.8932642487046633}
