{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.7349933748343709
{'task_description': 2, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 2}, 0.7241656009428521
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7198879551820728
{'task_description': 2, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 3}, 0.719551282051282
{'task_description': 3, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 2}, 0.7146504467973267
{'task_description': 4, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 6}, 0.6937059074590144
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'answer_description': 6}, 0.6909123153707786
{'task_description': 7, 'ctr_description': 6, 'statement_description': 3, 'answer_description': 8}, 0.6827075621364358
{'task_description': 8, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 6}, 0.6760805749569794
{'task_description': 7, 'ctr_description': 7, 'statement_description': 4, 'answer_description': 5}, 0.6634826952447517
{'task_description': 4, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 8}, 0.6612654516039334
{'task_description': 5, 'ctr_description': 8, 'statement_description': 4, 'answer_description': 6}, 0.6583257964023717
{'task_description': 8, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 4}, 0.6578099838969405
{'task_description': 5, 'ctr_description': 7, 'statement_description': 7, 'answer_description': 5}, 0.6503040267230356
{'task_description': 6, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 6}, 0.6464646464646464
{'task_description': 7, 'ctr_description': 5, 'statement_description': 6, 'answer_description': 8}, 0.6430028559771522
{'task_description': 6, 'ctr_description': 5, 'statement_description': 6, 'answer_description': 6}, 0.642773938029044
{'task_description': 7, 'ctr_description': 8, 'statement_description': 6, 'answer_description': 5}, 0.6410093971069581
{'task_description': 8, 'ctr_description': 8, 'statement_description': 4, 'answer_description': 7}, 0.632198402690206
{'task_description': 4, 'ctr_description': 4, 'statement_description': 7, 'answer_description': 6}, 0.6181288312732389
{'task_description': 7, 'ctr_description': 7, 'statement_description': 6, 'answer_description': 5}, 0.6138996138996139
{'task_description': 6, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 5}, 0.6136646291445054
{'task_description': 4, 'ctr_description': 8, 'statement_description': 7, 'answer_description': 7}, 0.6107080563209384
{'task_description': 6, 'ctr_description': 6, 'statement_description': 7, 'answer_description': 7}, 0.6032956972841013
{'task_description': 5, 'ctr_description': 6, 'statement_description': 7, 'answer_description': 8}, 0.59375
