{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.7098839535814325
{'task_description': 0, 'ctr_description': 2, 'statement_description': 1, 'answer_description': 1}, 0.7085720028137876
{'task_description': 2, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 0}, 0.7049926248156204
{'task_description': 3, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 2}, 0.7048155096935584
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 1}, 0.7044014128610436
{'task_description': 8, 'ctr_description': 8, 'statement_description': 6, 'answer_description': 6}, 0.6949923748093703
{'task_description': 7, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 3}, 0.67996799679968
{'task_description': 4, 'ctr_description': 6, 'statement_description': 7, 'answer_description': 6}, 0.6683750376846548
{'task_description': 8, 'ctr_description': 6, 'statement_description': 7, 'answer_description': 3}, 0.6621533823644066
{'task_description': 5, 'ctr_description': 7, 'statement_description': 8, 'answer_description': 6}, 0.6583257964023717
{'task_description': 8, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 6}, 0.6524892347208582
{'task_description': 7, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 4}, 0.6498599439775911
{'task_description': 8, 'ctr_description': 6, 'statement_description': 8, 'answer_description': 6}, 0.6477455716586151
{'task_description': 8, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 3}, 0.6457131288591963
{'task_description': 8, 'ctr_description': 6, 'statement_description': 8, 'answer_description': 4}, 0.6384100226630338
{'task_description': 6, 'ctr_description': 5, 'statement_description': 6, 'answer_description': 6}, 0.6317135549872123
{'task_description': 5, 'ctr_description': 8, 'statement_description': 7, 'answer_description': 3}, 0.6277948153390475
{'task_description': 7, 'ctr_description': 6, 'statement_description': 8, 'answer_description': 3}, 0.6238621831038893
{'task_description': 7, 'ctr_description': 5, 'statement_description': 7, 'answer_description': 4}, 0.6145833333333333
{'task_description': 7, 'ctr_description': 6, 'statement_description': 7, 'answer_description': 7}, 0.6030800984361355
{'task_description': 8, 'ctr_description': 7, 'statement_description': 8, 'answer_description': 7}, 0.5989974937343359
{'task_description': 7, 'ctr_description': 7, 'statement_description': 5, 'answer_description': 5}, 0.5817245817245817
{'task_description': 8, 'ctr_description': 8, 'statement_description': 8, 'answer_description': 7}, 0.5777983729790959
{'task_description': 6, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 6}, 0.550157444894287
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'answer_description': 7}, 0.5414346544382574
