{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.7219343259435274
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 1}, 0.7171717171717171
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.7049926248156204
{'task_description': 1, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 2}, 0.7048155096935584
{'task_description': 2, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 3}, 0.7046381817726715
{'task_description': 6, 'ctr_description': 5, 'statement_description': 6, 'answer_description': 6}, 0.696969696969697
{'task_description': 4, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 6}, 0.6922223063144882
{'task_description': 3, 'ctr_description': 4, 'statement_description': 4, 'answer_description': 6}, 0.677938808373591
{'task_description': 3, 'ctr_description': 8, 'statement_description': 5, 'answer_description': 8}, 0.6772458310919849
{'task_description': 7, 'ctr_description': 8, 'statement_description': 4, 'answer_description': 4}, 0.666999666999667
{'task_description': 6, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 8}, 0.6651785714285714
{'task_description': 4, 'ctr_description': 7, 'statement_description': 6, 'answer_description': 4}, 0.6550324675324675
{'task_description': 3, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 8}, 0.6541552232733191
{'task_description': 4, 'ctr_description': 8, 'statement_description': 6, 'answer_description': 5}, 0.6503762255833396
{'task_description': 5, 'ctr_description': 6, 'statement_description': 7, 'answer_description': 7}, 0.624249159852875
{'task_description': 4, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 7}, 0.6228786926461345
{'task_description': 5, 'ctr_description': 8, 'statement_description': 7, 'answer_description': 7}, 0.6138996138996139
{'task_description': 7, 'ctr_description': 8, 'statement_description': 7, 'answer_description': 6}, 0.6068255091609656
{'task_description': 7, 'ctr_description': 6, 'statement_description': 3, 'answer_description': 5}, 0.6067315304272325
{'task_description': 5, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 7}, 0.5937711577522005
{'task_description': 7, 'ctr_description': 7, 'statement_description': 6, 'answer_description': 8}, 0.5817245817245817
{'task_description': 4, 'ctr_description': 7, 'statement_description': 3, 'answer_description': 5}, 0.5812205151492217
{'task_description': 6, 'ctr_description': 7, 'statement_description': 3, 'answer_description': 8}, 0.5675007723200495
{'task_description': 6, 'ctr_description': 5, 'statement_description': 7, 'answer_description': 8}, 0.5644107445349681
{'task_description': 6, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 8}, 0.5637175324675325
