{'task_description': 0, 'ctr_description': 3, 'statement_description': 1, 'self_A': 2, 'self_B': 2, 'self_C': 1, 'answer_description': 0}, 0.7798018216394755
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'self_A': 0, 'self_B': 3, 'self_C': 2, 'answer_description': 2}, 0.7642869680784372
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'self_A': 1, 'self_B': 0, 'self_C': 1, 'answer_description': 1}, 0.7546995068959474
{'task_description': 2, 'ctr_description': 2, 'statement_description': 2, 'self_A': 2, 'self_B': 1, 'self_C': 0, 'answer_description': 2}, 0.7487689679429204
{'task_description': 4, 'ctr_description': 4, 'statement_description': 3, 'self_A': 3, 'self_B': 4, 'self_C': 3, 'answer_description': 3}, 0.748389694041868
{'task_description': 5, 'ctr_description': 6, 'statement_description': 6, 'self_A': 5, 'self_B': 7, 'self_C': 7, 'answer_description': 4}, 0.7076318177235609
{'task_description': 7, 'ctr_description': 8, 'statement_description': 8, 'self_A': 7, 'self_B': 7, 'self_C': 8, 'answer_description': 4}, 0.7023809523809523
{'task_description': 6, 'ctr_description': 8, 'statement_description': 4, 'self_A': 6, 'self_B': 8, 'self_C': 7, 'answer_description': 5}, 0.6985227615315044
{'task_description': 6, 'ctr_description': 9, 'statement_description': 8, 'self_A': 7, 'self_B': 5, 'self_C': 4, 'answer_description': 7}, 0.6975501562657526
{'task_description': 9, 'ctr_description': 8, 'statement_description': 7, 'self_A': 7, 'self_B': 6, 'self_C': 7, 'answer_description': 4}, 0.6798719487795117
{'task_description': 7, 'ctr_description': 8, 'statement_description': 8, 'self_A': 5, 'self_B': 8, 'self_C': 5, 'answer_description': 5}, 0.6772458310919849
{'task_description': 6, 'ctr_description': 8, 'statement_description': 5, 'self_A': 6, 'self_B': 8, 'self_C': 8, 'answer_description': 4}, 0.6761841124617718
{'task_description': 6, 'ctr_description': 8, 'statement_description': 5, 'self_A': 6, 'self_B': 7, 'self_C': 5, 'answer_description': 8}, 0.6706442704770592
{'task_description': 9, 'ctr_description': 7, 'statement_description': 4, 'self_A': 6, 'self_B': 7, 'self_C': 4, 'answer_description': 4}, 0.67
{'task_description': 9, 'ctr_description': 5, 'statement_description': 4, 'self_A': 6, 'self_B': 5, 'self_C': 8, 'answer_description': 6}, 0.6697027324592133
{'task_description': 9, 'ctr_description': 8, 'statement_description': 4, 'self_A': 8, 'self_B': 6, 'self_C': 5, 'answer_description': 6}, 0.6649916247906198
{'task_description': 7, 'ctr_description': 8, 'statement_description': 6, 'self_A': 5, 'self_B': 6, 'self_C': 5, 'answer_description': 7}, 0.6556243735704557
{'task_description': 7, 'ctr_description': 5, 'statement_description': 8, 'self_A': 5, 'self_B': 7, 'self_C': 5, 'answer_description': 6}, 0.6541552232733191
{'task_description': 6, 'ctr_description': 6, 'statement_description': 7, 'self_A': 4, 'self_B': 7, 'self_C': 8, 'answer_description': 6}, 0.6531283166368979
{'task_description': 6, 'ctr_description': 6, 'statement_description': 7, 'self_A': 6, 'self_B': 8, 'self_C': 7, 'answer_description': 6}, 0.6410424934907354
{'task_description': 5, 'ctr_description': 8, 'statement_description': 7, 'self_A': 5, 'self_B': 6, 'self_C': 8, 'answer_description': 8}, 0.6410093971069581
{'task_description': 8, 'ctr_description': 5, 'statement_description': 5, 'self_A': 6, 'self_B': 8, 'self_C': 6, 'answer_description': 5}, 0.6349178565177165
{'task_description': 7, 'ctr_description': 7, 'statement_description': 7, 'self_A': 4, 'self_B': 9, 'self_C': 8, 'answer_description': 8}, 0.6282243894986123
{'task_description': 8, 'ctr_description': 7, 'statement_description': 5, 'self_A': 6, 'self_B': 5, 'self_C': 7, 'answer_description': 7}, 0.6216897856242118
{'task_description': 8, 'ctr_description': 5, 'statement_description': 5, 'self_A': 4, 'self_B': 8, 'self_C': 7, 'answer_description': 5}, 0.6168968646032866
