{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 1}, 0.7325865940109488
{'task_description': 2, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 0}, 0.72
{'task_description': 0, 'ctr_description': 1, 'statement_description': 3, 'highlight_description': 1, 'answer_description': 2}, 0.7151866544603804
{'task_description': 1, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 0}, 0.7137907659862921
{'task_description': 3, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 2, 'answer_description': 3}, 0.7133878064110623
{'task_description': 6, 'ctr_description': 5, 'statement_description': 8, 'highlight_description': 4, 'answer_description': 5}, 0.7097387648883995
{'task_description': 5, 'ctr_description': 5, 'statement_description': 8, 'highlight_description': 6, 'answer_description': 8}, 0.6821312343903732
{'task_description': 4, 'ctr_description': 8, 'statement_description': 6, 'highlight_description': 7, 'answer_description': 8}, 0.6698412698412699
{'task_description': 5, 'ctr_description': 8, 'statement_description': 5, 'highlight_description': 5, 'answer_description': 8}, 0.6691729323308271
{'task_description': 6, 'ctr_description': 5, 'statement_description': 6, 'highlight_description': 6, 'answer_description': 8}, 0.6587812889918769
{'task_description': 6, 'ctr_description': 5, 'statement_description': 9, 'highlight_description': 7, 'answer_description': 8}, 0.6578053576444751
{'task_description': 7, 'ctr_description': 8, 'statement_description': 8, 'highlight_description': 7, 'answer_description': 4}, 0.6445645916247403
{'task_description': 5, 'ctr_description': 8, 'statement_description': 8, 'highlight_description': 7, 'answer_description': 4}, 0.6442796663243067
{'task_description': 4, 'ctr_description': 5, 'statement_description': 5, 'highlight_description': 3, 'answer_description': 5}, 0.6394230769230769
{'task_description': 4, 'ctr_description': 8, 'statement_description': 6, 'highlight_description': 7, 'answer_description': 4}, 0.6349178565177165
{'task_description': 4, 'ctr_description': 8, 'statement_description': 5, 'highlight_description': 7, 'answer_description': 5}, 0.6242390841453944
{'task_description': 8, 'ctr_description': 7, 'statement_description': 7, 'highlight_description': 3, 'answer_description': 8}, 0.6186270574066639
{'task_description': 7, 'ctr_description': 8, 'statement_description': 9, 'highlight_description': 5, 'answer_description': 5}, 0.6161616161616161
{'task_description': 7, 'ctr_description': 6, 'statement_description': 5, 'highlight_description': 5, 'answer_description': 7}, 0.607487922705314
{'task_description': 4, 'ctr_description': 7, 'statement_description': 5, 'highlight_description': 7, 'answer_description': 6}, 0.5952765183534414
{'task_description': 5, 'ctr_description': 4, 'statement_description': 9, 'highlight_description': 6, 'answer_description': 6}, 0.5733333333333334
{'task_description': 6, 'ctr_description': 7, 'statement_description': 7, 'highlight_description': 4, 'answer_description': 6}, 0.5729166666666666
{'task_description': 5, 'ctr_description': 6, 'statement_description': 7, 'highlight_description': 5, 'answer_description': 6}, 0.5716034271725826
{'task_description': 4, 'ctr_description': 5, 'statement_description': 9, 'highlight_description': 6, 'answer_description': 6}, 0.568547082299644
{'task_description': 7, 'ctr_description': 7, 'statement_description': 8, 'highlight_description': 7, 'answer_description': 6}, 0.5574731718110411
