{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 1}, 0.7266929851199515
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'highlight_description': 2, 'answer_description': 3}, 0.7076318177235609
{'task_description': 1, 'ctr_description': 2, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 2}, 0.7050147492625369
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 0}, 0.7049926248156204
{'task_description': 2, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 0}, 0.696969696969697
{'task_description': 5, 'ctr_description': 7, 'statement_description': 3, 'highlight_description': 8, 'answer_description': 8}, 0.6666666666666666
{'task_description': 5, 'ctr_description': 5, 'statement_description': 3, 'highlight_description': 4, 'answer_description': 5}, 0.64349376114082
{'task_description': 7, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 8, 'answer_description': 5}, 0.6394230769230769
{'task_description': 5, 'ctr_description': 4, 'statement_description': 5, 'highlight_description': 4, 'answer_description': 6}, 0.6323436831104732
{'task_description': 6, 'ctr_description': 5, 'statement_description': 5, 'highlight_description': 8, 'answer_description': 5}, 0.62996299629963
{'task_description': 6, 'ctr_description': 4, 'statement_description': 3, 'highlight_description': 4, 'answer_description': 4}, 0.6292863762743282
{'task_description': 6, 'ctr_description': 6, 'statement_description': 2, 'highlight_description': 8, 'answer_description': 7}, 0.6290726817042607
{'task_description': 3, 'ctr_description': 7, 'statement_description': 2, 'highlight_description': 6, 'answer_description': 6}, 0.6269785260610949
{'task_description': 6, 'ctr_description': 6, 'statement_description': 3, 'highlight_description': 7, 'answer_description': 8}, 0.6176105828854899
{'task_description': 3, 'ctr_description': 4, 'statement_description': 6, 'highlight_description': 6, 'answer_description': 4}, 0.6175523349436394
{'task_description': 5, 'ctr_description': 4, 'statement_description': 3, 'highlight_description': 5, 'answer_description': 4}, 0.6153456827614131
{'task_description': 6, 'ctr_description': 4, 'statement_description': 4, 'highlight_description': 6, 'answer_description': 4}, 0.6112531969309463
{'task_description': 4, 'ctr_description': 7, 'statement_description': 2, 'highlight_description': 4, 'answer_description': 7}, 0.6093337556752191
{'task_description': 5, 'ctr_description': 7, 'statement_description': 4, 'highlight_description': 8, 'answer_description': 6}, 0.6088888888888889
{'task_description': 7, 'ctr_description': 6, 'statement_description': 2, 'highlight_description': 5, 'answer_description': 4}, 0.6068255091609656
{'task_description': 7, 'ctr_description': 5, 'statement_description': 3, 'highlight_description': 7, 'answer_description': 7}, 0.6022031823745411
{'task_description': 4, 'ctr_description': 3, 'statement_description': 5, 'highlight_description': 5, 'answer_description': 5}, 0.6006725514922235
{'task_description': 6, 'ctr_description': 4, 'statement_description': 4, 'highlight_description': 7, 'answer_description': 6}, 0.570999570999571
{'task_description': 6, 'ctr_description': 6, 'statement_description': 3, 'highlight_description': 7, 'answer_description': 6}, 0.539894512400404
{'task_description': 7, 'ctr_description': 5, 'statement_description': 2, 'highlight_description': 4, 'answer_description': 7}, 0.51338199513382
