{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6729128087817131
{'task_description': 1, 'instruction_description': 0, 'answer_description': 1}, 0.668519719445061
{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6588576930771237
{'task_description': 2, 'instruction_description': 1, 'answer_description': 1}, 0.6569166220472499
{'task_description': 2, 'instruction_description': 1, 'answer_description': 1}, 0.6494018185627524
{'task_description': 5, 'instruction_description': 5, 'answer_description': 4}, 0.6112588291711054
{'task_description': 5, 'instruction_description': 2, 'answer_description': 6}, 0.6026713486857493
{'task_description': 5, 'instruction_description': 3, 'answer_description': 5}, 0.5968113237748558
{'task_description': 3, 'instruction_description': 3, 'answer_description': 5}, 0.5927795006175872
{'task_description': 6, 'instruction_description': 6, 'answer_description': 6}, 0.5906421787211737
{'task_description': 7, 'instruction_description': 5, 'answer_description': 2}, 0.5900300991563652
{'task_description': 5, 'instruction_description': 2, 'answer_description': 4}, 0.5855625853007405
{'task_description': 7, 'instruction_description': 3, 'answer_description': 5}, 0.5825789143598986
{'task_description': 3, 'instruction_description': 5, 'answer_description': 2}, 0.5808382327421794
{'task_description': 6, 'instruction_description': 6, 'answer_description': 2}, 0.5648377554799989
{'task_description': 6, 'instruction_description': 3, 'answer_description': 6}, 0.564499640073086
{'task_description': 4, 'instruction_description': 3, 'answer_description': 4}, 0.5526516980163789
{'task_description': 4, 'instruction_description': 4, 'answer_description': 2}, 0.5491620245337845
{'task_description': 7, 'instruction_description': 3, 'answer_description': 3}, 0.5368934801612812
{'task_description': 7, 'instruction_description': 4, 'answer_description': 3}, 0.5261460137843653
{'task_description': 4, 'instruction_description': 5, 'answer_description': 6}, 0.4942385563859209
{'task_description': 4, 'instruction_description': 5, 'answer_description': 4}, 0.49297487699435577
{'task_description': 7, 'instruction_description': 4, 'answer_description': 3}, 0.48972844355759804
{'task_description': 4, 'instruction_description': 2, 'answer_description': 4}, 0.4564435558080849
{'task_description': 3, 'instruction_description': 2, 'answer_description': 4}, 0.42252143558339084
