{'Contradiction': 0.7311827956989247, 'Entailment': 0.7663551401869159}
{'Contradiction': 0.7530562347188264, 'Entailment': 0.7416879795396419}
{'Contradiction': 0.7530562347188264, 'Entailment': 0.7416879795396419}
{'Contradiction': 0.7292225201072386, 'Entailment': 0.7634660421545667}
{'Contradiction': 0.7536231884057971, 'Entailment': 0.7357512953367875}
{'Contradiction': 0.7386934673366834, 'Entailment': 0.7412935323383084}
{'Contradiction': 0.7158469945355191, 'Entailment': 0.7603686635944701}
{'Contradiction': 0.7263681592039801, 'Entailment': 0.7236180904522613}
{'Contradiction': 0.7142857142857143, 'Entailment': 0.7254901960784313}
{'Contradiction': 0.6931216931216931, 'Entailment': 0.7251184834123223}
{'Contradiction': 0.664756446991404, 'Entailment': 0.7405764966740577}
{'Contradiction': 0.6757493188010899, 'Entailment': 0.7251732101616628}
{'Contradiction': 0.696969696969697, 'Entailment': 0.7029702970297029}
{'Contradiction': 0.7105882352941176, 'Entailment': 0.672}
{'Contradiction': 0.6322188449848024, 'Entailment': 0.7430997876857749}
{'Contradiction': 0.6303030303030303, 'Entailment': 0.7404255319148936}
{'Contradiction': 0.5968253968253968, 'Entailment': 0.7381443298969073}
{'Contradiction': 0.5968253968253968, 'Entailment': 0.7381443298969073}
{'Contradiction': 0.5827814569536424, 'Entailment': 0.7469879518072289}
{'Contradiction': 0.5787781350482315, 'Entailment': 0.7321063394683026}
{'Contradiction': 0.7331975560081466, 'Entailment': 0.5760517799352751}
{'Contradiction': 0.49295774647887325, 'Entailment': 0.7209302325581395}
{'Contradiction': 0.554089709762533, 'Entailment': 0.5985748218527316}
{'Contradiction': 0.4222222222222222, 'Entailment': 0.7056603773584905}
{'Contradiction': 0.2796610169491525, 'Entailment': 0.6985815602836879}
