{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 2}, 0.218834993262631
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.2165613875758064
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 0}, 0.21612653742733412
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.21592884315295185
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 1}, 0.21367443940726039
{'task_description': 0, 'doc_description': 0, 'answer_description': 1, 'example_description': 1}, 0.2131809561540732
{'task_description': 1, 'doc_description': 1, 'answer_description': 0, 'example_description': 0}, 0.2079122592782096
{'task_description': 0, 'doc_description': 2, 'answer_description': 0, 'example_description': 1}, 0.20674320011188804
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 2}, 0.20173294053668409
{'task_description': 0, 'doc_description': 2, 'answer_description': 4, 'example_description': 1}, 0.20091104790021136
{'task_description': 0, 'doc_description': 2, 'answer_description': 4, 'example_description': 1}, 0.19899812239846812
{'task_description': 0, 'doc_description': 4, 'answer_description': 0, 'example_description': 2}, 0.19786283807856686
{'task_description': 0, 'doc_description': 0, 'answer_description': 2, 'example_description': 2}, 0.19497262538757465
{'task_description': 0, 'doc_description': 4, 'answer_description': 4, 'example_description': 1}, 0.19469150113541978
{'task_description': 0, 'doc_description': 3, 'answer_description': 2, 'example_description': 2}, 0.19461057579713464
{'task_description': 1, 'doc_description': 4, 'answer_description': 3, 'example_description': 2}, 0.19296611399525262
{'task_description': 0, 'doc_description': 2, 'answer_description': 2, 'example_description': 1}, 0.1918117991157342
{'task_description': 0, 'doc_description': 3, 'answer_description': 4, 'example_description': 2}, 0.19160306312736577
{'task_description': 0, 'doc_description': 4, 'answer_description': 4, 'example_description': 2}, 0.1914848691523514
{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 1}, 0.19093994770800082
{'task_description': 0, 'doc_description': 4, 'answer_description': 2, 'example_description': 0}, 0.1899727607238911
{'task_description': 1, 'doc_description': 0, 'answer_description': 3, 'example_description': 2}, 0.18602014175428744
{'task_description': 0, 'doc_description': 4, 'answer_description': 3, 'example_description': 2}, 0.18354705438378954
{'task_description': 0, 'doc_description': 2, 'answer_description': 2, 'example_description': 2}, 0.1797816396778392
{'task_description': 1, 'doc_description': 3, 'answer_description': 2, 'example_description': 2}, 0.17842811353211863
