{'task_description': 0, 'doc_description': 2, 'answer_description': 4, 'example_description': 0}, 0.1859511559797158
{'task_description': 0, 'doc_description': 1, 'answer_description': 1, 'example_description': 3}, 0.18506091713119935
{'task_description': 3, 'doc_description': 2, 'answer_description': 1, 'example_description': 3}, 0.18233085312053932
{'task_description': 0, 'doc_description': 2, 'answer_description': 1, 'example_description': 0}, 0.17946269258718076
{'task_description': 0, 'doc_description': 2, 'answer_description': 4, 'example_description': 1}, 0.17700789571435685
{'task_description': 3, 'doc_description': 0, 'answer_description': 3, 'example_description': 0}, 0.17340285799343175
{'task_description': 1, 'doc_description': 0, 'answer_description': 1, 'example_description': 3}, 0.17224076049747622
{'task_description': 3, 'doc_description': 0, 'answer_description': 3, 'example_description': 1}, 0.17069552934810336
{'task_description': 1, 'doc_description': 0, 'answer_description': 4, 'example_description': 0}, 0.1664119850200227
{'task_description': 0, 'doc_description': 1, 'answer_description': 4, 'example_description': 2}, 0.1648800838189204
{'task_description': 1, 'doc_description': 0, 'answer_description': 3, 'example_description': 1}, 0.16472500651485988
{'task_description': 0, 'doc_description': 0, 'answer_description': 2, 'example_description': 0}, 0.16173773888057383
{'task_description': 0, 'doc_description': 1, 'answer_description': 4, 'example_description': 2}, 0.15779535123399863
{'task_description': 2, 'doc_description': 0, 'answer_description': 2, 'example_description': 0}, 0.15721181596154116
{'task_description': 0, 'doc_description': 0, 'answer_description': 2, 'example_description': 1}, 0.15588378585344229
{'task_description': 1, 'doc_description': 1, 'answer_description': 1, 'example_description': 2}, 0.1513856974670389
{'task_description': 1, 'doc_description': 0, 'answer_description': 2, 'example_description': 3}, 0.14724225490747656
{'task_description': 2, 'doc_description': 2, 'answer_description': 2, 'example_description': 0}, 0.1379528835811813
{'task_description': 0, 'doc_description': 2, 'answer_description': 2, 'example_description': 2}, 0.1366714063084563
{'task_description': 1, 'doc_description': 1, 'answer_description': 2, 'example_description': 2}, 0.13505971178232917
{'task_description': 0, 'doc_description': 1, 'answer_description': 2, 'example_description': 2}, 0.1315898189802327
{'task_description': 2, 'doc_description': 2, 'answer_description': 2, 'example_description': 2}, 0.13143080027157383
{'task_description': 1, 'doc_description': 2, 'answer_description': 2, 'example_description': 2}, 0.12965882055659642
{'task_description': 3, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.12189037675204914
{'task_description': 3, 'doc_description': 1, 'answer_description': 0, 'example_description': 2}, 0.1206651641107947
