{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.17334458389412502
{'task_description': 1, 'doc_description': 1, 'answer_description': 1, 'example_description': 1}, 0.18705159416030712
{'task_description': 2, 'doc_description': 2, 'answer_description': 2, 'example_description': 2}, 0.17901123811495545
{'task_description': 3, 'doc_description': 3, 'answer_description': 3, 'example_description': 3}, 0.14820483349363744
{'task_description': 4, 'doc_description': 4, 'answer_description': 4, 'example_description': 4}, 0.13725017728740158
{'task_description': 3, 'doc_description': 1, 'answer_description': 0, 'example_description': 0}, 0.15418437138792973
{'task_description': 3, 'doc_description': 2, 'answer_description': 3, 'example_description': 0}, 0.15769118363974094
{'task_description': 2, 'doc_description': 2, 'answer_description': 1, 'example_description': 1}, 0.17344352226800452
{'task_description': 4, 'doc_description': 2, 'answer_description': 4, 'example_description': 3}, 0.12355228682400787
{'task_description': 2, 'doc_description': 1, 'answer_description': 1, 'example_description': 0}, 0.1950793801472525
{'task_description': 3, 'doc_description': 3, 'answer_description': 4, 'example_description': 4}, 0.11723246469603968
{'task_description': 2, 'doc_description': 2, 'answer_description': 3, 'example_description': 4}, 0.15627417534128285
{'task_description': 3, 'doc_description': 3, 'answer_description': 0, 'example_description': 3}, 0.14948341703012755
{'task_description': 1, 'doc_description': 4, 'answer_description': 0, 'example_description': 3}, 0.18332118975622236
{'task_description': 3, 'doc_description': 3, 'answer_description': 0, 'example_description': 3}, 0.1535625763893762
{'task_description': 4, 'doc_description': 0, 'answer_description': 3, 'example_description': 0}, 0.16932845993551487
{'task_description': 4, 'doc_description': 1, 'answer_description': 0, 'example_description': 0}, 0.17751666011443312
{'task_description': 3, 'doc_description': 1, 'answer_description': 1, 'example_description': 3}, 0.1652464185342265
{'task_description': 4, 'doc_description': 3, 'answer_description': 0, 'example_description': 1}, 0.1617679362121766
{'task_description': 1, 'doc_description': 0, 'answer_description': 4, 'example_description': 4}, 0.13678111260503859
{'task_description': 3, 'doc_description': 2, 'answer_description': 2, 'example_description': 2}, 0.1620417957858465
{'task_description': 3, 'doc_description': 2, 'answer_description': 2, 'example_description': 4}, 0.14912201326036614
{'task_description': 2, 'doc_description': 4, 'answer_description': 4, 'example_description': 2}, 0.15257231313981223
{'task_description': 2, 'doc_description': 3, 'answer_description': 4, 'example_description': 0}, 0.14553308749818217
{'task_description': 4, 'doc_description': 3, 'answer_description': 3, 'example_description': 4}, 0.14586936755716307
