{'task_description': 2, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.2301593248028517
{'task_description': 1, 'doc_description': 3, 'answer_description': 1, 'example_description': 1}, 0.22882005931437455
{'task_description': 2, 'doc_description': 4, 'answer_description': 0, 'example_description': 0}, 0.22515575983559072
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.21833490352107243
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.21662860127601105
{'task_description': 0, 'doc_description': 3, 'answer_description': 1, 'example_description': 1}, 0.21172996857314283
{'task_description': 1, 'doc_description': 2, 'answer_description': 0, 'example_description': 0}, 0.21063697078787819
{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 1}, 0.20917333825138548
{'task_description': 0, 'doc_description': 2, 'answer_description': 0, 'example_description': 0}, 0.2083405811915779
{'task_description': 2, 'doc_description': 4, 'answer_description': 1, 'example_description': 0}, 0.20828634661143364
{'task_description': 2, 'doc_description': 3, 'answer_description': 0, 'example_description': 2}, 0.20430828385255545
{'task_description': 0, 'doc_description': 4, 'answer_description': 0, 'example_description': 0}, 0.20375462757011809
{'task_description': 2, 'doc_description': 3, 'answer_description': 0, 'example_description': 0}, 0.2027784593806909
{'task_description': 0, 'doc_description': 4, 'answer_description': 0, 'example_description': 0}, 0.2026365799847772
{'task_description': 2, 'doc_description': 2, 'answer_description': 0, 'example_description': 1}, 0.2016561654953541
{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 1}, 0.2005447775249367
{'task_description': 2, 'doc_description': 2, 'answer_description': 1, 'example_description': 0}, 0.19978650162363207
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 0}, 0.19961577405060751
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.1994283284270478
{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 0}, 0.1944602628794344
{'task_description': 1, 'doc_description': 2, 'answer_description': 1, 'example_description': 0}, 0.1940295278721791
{'task_description': 2, 'doc_description': 4, 'answer_description': 1, 'example_description': 0}, 0.19320791182610636
{'task_description': 0, 'doc_description': 0, 'answer_description': 1, 'example_description': 0}, 0.18910800145639417
{'task_description': 2, 'doc_description': 4, 'answer_description': 1, 'example_description': 2}, 0.18849434219702327
{'task_description': 2, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.18611408343602093
