{'Contradiction': 0.7734806629834254, 'Entailment': 0.9608404966571156}
{'Contradiction': 0.7586206896551724, 'Entailment': 0.9601518026565465}
{'Contradiction': 0.7821782178217822, 'Entailment': 0.9571150097465887}
{'Contradiction': 0.7755102040816326, 'Entailment': 0.9573643410852714}
{'Contradiction': 0.725, 'Entailment': 0.9588014981273408}
{'Contradiction': 0.7261904761904762, 'Entailment': 0.9566037735849057}
{'Contradiction': 0.7037037037037037, 'Entailment': 0.9549718574108818}
{'Contradiction': 0.7777777777777778, 'Entailment': 0.9525691699604744}
{'Contradiction': 0.7272727272727273, 'Entailment': 0.9543726235741445}
{'Contradiction': 0.6797385620915033, 'Entailment': 0.9544186046511628}
{'Contradiction': 0.6832298136645962, 'Entailment': 0.9522024367385192}
{'Contradiction': 0.6961325966850829, 'Entailment': 0.9474689589302769}
{'Contradiction': 0.6056338028169014, 'Entailment': 0.9484346224677717}
{'Contradiction': 0.2857142857142857, 'Entailment': 0.9283154121863799}
{'Contradiction': 0.2702702702702703, 'Entailment': 0.927484333034915}
{'Contradiction': 0.06060606060606061, 'Entailment': 0.9176262178919398}
{'Contradiction': 0.0, 'Entailment': 0.9161518093556928}
{'Contradiction': 0.0, 'Entailment': 0.9161518093556928}
{'Contradiction': 0.0, 'Entailment': 0.9161518093556928}
{'Contradiction': 0.44385026737967914, 'Entailment': 0.7564402810304449}
