{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.7349933748343709
{'task_description': 2, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 2}, 0.7241656009428521
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7198879551820728
{'task_description': 2, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 3}, 0.719551282051282
{'task_description': 3, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 2}, 0.7146504467973267
{'task_description': 7, 'ctr_description': 8, 'statement_description': 4, 'answer_description': 6}, 0.6682027649769585
{'task_description': 7, 'ctr_description': 8, 'statement_description': 3, 'answer_description': 5}, 0.6594551282051282
{'task_description': 6, 'ctr_description': 4, 'statement_description': 7, 'answer_description': 7}, 0.6382794684280884
{'task_description': 6, 'ctr_description': 7, 'statement_description': 7, 'answer_description': 7}, 0.632198402690206
{'task_description': 4, 'ctr_description': 7, 'statement_description': 3, 'answer_description': 4}, 0.6292863762743282
{'task_description': 6, 'ctr_description': 6, 'statement_description': 7, 'answer_description': 7}, 0.6260697827518105
{'task_description': 6, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 5}, 0.6238621831038893
{'task_description': 8, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 4}, 0.6233915681556648
{'task_description': 5, 'ctr_description': 7, 'statement_description': 6, 'answer_description': 4}, 0.6226030191758466
{'task_description': 5, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 4}, 0.6215848028456823
{'task_description': 5, 'ctr_description': 8, 'statement_description': 7, 'answer_description': 7}, 0.6198923028191321
{'task_description': 7, 'ctr_description': 5, 'statement_description': 6, 'answer_description': 7}, 0.6117108022054827
{'task_description': 5, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 5}, 0.609375
{'task_description': 8, 'ctr_description': 6, 'statement_description': 6, 'answer_description': 8}, 0.6093337556752191
{'task_description': 8, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 4}, 0.6072757337742869
{'task_description': 5, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 8}, 0.6068255091609656
{'task_description': 6, 'ctr_description': 5, 'statement_description': 7, 'answer_description': 5}, 0.6057682332192136
{'task_description': 8, 'ctr_description': 8, 'statement_description': 4, 'answer_description': 8}, 0.6002081108464087
{'task_description': 4, 'ctr_description': 8, 'statement_description': 5, 'answer_description': 7}, 0.5966766153101557
{'task_description': 7, 'ctr_description': 7, 'statement_description': 5, 'answer_description': 4}, 0.5963408560719248
