{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.7098839535814325
{'task_description': 0, 'ctr_description': 2, 'statement_description': 1, 'answer_description': 1}, 0.7085720028137876
{'task_description': 2, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 0}, 0.7049926248156204
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 1}, 0.7044014128610436
{'task_description': 1, 'ctr_description': 2, 'statement_description': 1, 'answer_description': 1}, 0.7033312382149592
{'task_description': 7, 'ctr_description': 7, 'statement_description': 6, 'answer_description': 5}, 0.6542999574137629
{'task_description': 6, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 5}, 0.6539532084555781
{'task_description': 4, 'ctr_description': 7, 'statement_description': 6, 'answer_description': 6}, 0.6441005802707931
{'task_description': 4, 'ctr_description': 6, 'statement_description': 6, 'answer_description': 3}, 0.6439833180754755
{'task_description': 4, 'ctr_description': 3, 'statement_description': 6, 'answer_description': 3}, 0.6362611747227132
{'task_description': 3, 'ctr_description': 3, 'statement_description': 4, 'answer_description': 4}, 0.6353496353496353
{'task_description': 3, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 5}, 0.6238621831038893
{'task_description': 5, 'ctr_description': 4, 'statement_description': 7, 'answer_description': 4}, 0.6199741582427605
{'task_description': 7, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 3}, 0.6176105828854899
{'task_description': 6, 'ctr_description': 6, 'statement_description': 7, 'answer_description': 4}, 0.6067315304272325
{'task_description': 3, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 4}, 0.6014026589974519
{'task_description': 5, 'ctr_description': 5, 'statement_description': 7, 'answer_description': 4}, 0.5997536945812808
{'task_description': 5, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 5}, 0.5847404627892432
{'task_description': 4, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 2}, 0.5483116105684199
{'task_description': 3, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 3}, 0.5402820738386447
{'task_description': 3, 'ctr_description': 4, 'statement_description': 7, 'answer_description': 6}, 0.537037037037037
{'task_description': 3, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 6}, 0.5331465919701214
{'task_description': 4, 'ctr_description': 7, 'statement_description': 3, 'answer_description': 2}, 0.47109027527347036
{'task_description': 7, 'ctr_description': 7, 'statement_description': 3, 'answer_description': 2}, 0.34434915063412697
{'task_description': 6, 'ctr_description': 5, 'statement_description': 7, 'answer_description': 2}, 0.3333333333333333
