{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 2}, 0.7224955220868337
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 1}, 0.719551282051282
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.7095352564102564
{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7089522280208751
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 1}, 0.7085720028137876
{'task_description': 7, 'ctr_description': 6, 'statement_description': 3, 'answer_description': 6}, 0.6128221244500314
{'task_description': 5, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 4}, 0.6086911749562351
{'task_description': 4, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 7}, 0.607487922705314
{'task_description': 3, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 4}, 0.5874818568409259
{'task_description': 4, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 7}, 0.5598239295718287
{'task_description': 4, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 5}, 0.5571658615136876
{'task_description': 5, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 7}, 0.5571658615136876
{'task_description': 7, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 4}, 0.554899852466805
{'task_description': 3, 'ctr_description': 7, 'statement_description': 4, 'answer_description': 6}, 0.5418038183015141
{'task_description': 4, 'ctr_description': 5, 'statement_description': 2, 'answer_description': 5}, 0.5332792207792207
{'task_description': 3, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 6}, 0.525039797489496
{'task_description': 5, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 3}, 0.5195676108497648
{'task_description': 5, 'ctr_description': 7, 'statement_description': 2, 'answer_description': 3}, 0.5093580308167259
{'task_description': 6, 'ctr_description': 3, 'statement_description': 6, 'answer_description': 5}, 0.49592449592449594
{'task_description': 5, 'ctr_description': 7, 'statement_description': 5, 'answer_description': 7}, 0.4783684224678013
{'task_description': 3, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 3}, 0.47212320753176784
{'task_description': 3, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 5}, 0.46896780617324924
{'task_description': 4, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 5}, 0.4536904057897553
{'task_description': 6, 'ctr_description': 3, 'statement_description': 6, 'answer_description': 7}, 0.4206773618538324
{'task_description': 7, 'ctr_description': 3, 'statement_description': 4, 'answer_description': 3}, 0.3953802353908016
