{'task_description': 3, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 0}, 0.7399739973997399
{'task_description': 2, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 1}, 0.7349403615813558
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 1}, 0.7344622861294121
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 0}, 0.7298919567827131
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7298919567827131
{'task_description': 6, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 2}, 0.6980676328502415
{'task_description': 2, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 2}, 0.6943811217715875
{'task_description': 5, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 2}, 0.6797117405665098
{'task_description': 5, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 2}, 0.6797117405665098
{'task_description': 5, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 2}, 0.6797117405665098
{'task_description': 2, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 3}, 0.67499187479687
{'task_description': 2, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 2}, 0.6740138920233707
{'task_description': 5, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 2}, 0.6678743961352657
{'task_description': 5, 'ctr_description': 6, 'statement_description': 2, 'answer_description': 0}, 0.6659580929243851
{'task_description': 5, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 2}, 0.6639835502394744
{'task_description': 5, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 2}, 0.6639835502394744
{'task_description': 2, 'ctr_description': 6, 'statement_description': 2, 'answer_description': 2}, 0.6631049654305469
{'task_description': 5, 'ctr_description': 5, 'statement_description': 2, 'answer_description': 2}, 0.6583257964023717
{'task_description': 5, 'ctr_description': 2, 'statement_description': 5, 'answer_description': 2}, 0.6535361904044588
{'task_description': 6, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 2}, 0.6495238095238096
{'task_description': 5, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 2}, 0.6482765551200884
{'task_description': 5, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 2}, 0.6482765551200884
{'task_description': 4, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 2}, 0.6395839769333744
{'task_description': 4, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 2}, 0.6395839769333744
{'task_description': 4, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 2}, 0.633811412877632
