{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 1}, 0.7325865940109488
{'task_description': 3, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 0}, 0.72
{'task_description': 0, 'ctr_description': 1, 'statement_description': 3, 'highlight_description': 2, 'answer_description': 2}, 0.7151866544603804
{'task_description': 2, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 0}, 0.7137907659862921
{'task_description': 5, 'ctr_description': 5, 'statement_description': 5, 'highlight_description': 7, 'answer_description': 7}, 0.7133878064110623
{'task_description': 4, 'ctr_description': 5, 'statement_description': 8, 'highlight_description': 6, 'answer_description': 7}, 0.7049926248156204
{'task_description': 8, 'ctr_description': 5, 'statement_description': 8, 'highlight_description': 5, 'answer_description': 7}, 0.7037483367226531
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 1}, 0.6999699969997
{'task_description': 4, 'ctr_description': 4, 'statement_description': 8, 'highlight_description': 5, 'answer_description': 7}, 0.6949313595559001
{'task_description': 5, 'ctr_description': 3, 'statement_description': 5, 'highlight_description': 6, 'answer_description': 7}, 0.6846136517233611
{'task_description': 5, 'ctr_description': 4, 'statement_description': 7, 'highlight_description': 7, 'answer_description': 3}, 0.684044233807267
{'task_description': 8, 'ctr_description': 3, 'statement_description': 7, 'highlight_description': 6, 'answer_description': 7}, 0.6643271284711627
{'task_description': 6, 'ctr_description': 7, 'statement_description': 4, 'highlight_description': 5, 'answer_description': 7}, 0.6639835502394744
{'task_description': 8, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 4, 'answer_description': 7}, 0.6639835502394744
{'task_description': 7, 'ctr_description': 5, 'statement_description': 8, 'highlight_description': 4, 'answer_description': 6}, 0.6607427124924972
{'task_description': 7, 'ctr_description': 5, 'statement_description': 8, 'highlight_description': 6, 'answer_description': 6}, 0.6607427124924972
{'task_description': 6, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 5, 'answer_description': 4}, 0.6531283166368979
{'task_description': 4, 'ctr_description': 6, 'statement_description': 6, 'highlight_description': 3, 'answer_description': 5}, 0.6511539725473343
{'task_description': 6, 'ctr_description': 6, 'statement_description': 8, 'highlight_description': 4, 'answer_description': 4}, 0.6436075427537966
{'task_description': 5, 'ctr_description': 5, 'statement_description': 5, 'highlight_description': 5, 'answer_description': 4}, 0.6427070197562001
{'task_description': 6, 'ctr_description': 3, 'statement_description': 7, 'highlight_description': 6, 'answer_description': 7}, 0.6395839769333744
{'task_description': 6, 'ctr_description': 4, 'statement_description': 8, 'highlight_description': 7, 'answer_description': 5}, 0.6354166666666667
{'task_description': 8, 'ctr_description': 4, 'statement_description': 7, 'highlight_description': 7, 'answer_description': 4}, 0.609375
{'task_description': 8, 'ctr_description': 3, 'statement_description': 5, 'highlight_description': 4, 'answer_description': 4}, 0.6069439895185064
{'task_description': 7, 'ctr_description': 4, 'statement_description': 7, 'highlight_description': 4, 'answer_description': 4}, 0.5655080213903744
