{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 1}, 0.7266929851199515
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'highlight_description': 2, 'answer_description': 3}, 0.7076318177235609
{'task_description': 1, 'ctr_description': 2, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 2}, 0.7050147492625369
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 0}, 0.7049926248156204
{'task_description': 2, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 0}, 0.696969696969697
{'task_description': 5, 'ctr_description': 6, 'statement_description': 6, 'highlight_description': 7, 'answer_description': 7}, 0.6449201070240804
{'task_description': 7, 'ctr_description': 5, 'statement_description': 5, 'highlight_description': 8, 'answer_description': 6}, 0.6449201070240804
{'task_description': 7, 'ctr_description': 4, 'statement_description': 2, 'highlight_description': 5, 'answer_description': 6}, 0.633811412877632
{'task_description': 7, 'ctr_description': 7, 'statement_description': 3, 'highlight_description': 5, 'answer_description': 8}, 0.6247654784240151
{'task_description': 4, 'ctr_description': 7, 'statement_description': 6, 'highlight_description': 7, 'answer_description': 7}, 0.6199619961996199
{'task_description': 5, 'ctr_description': 7, 'statement_description': 6, 'highlight_description': 4, 'answer_description': 8}, 0.6190476190476191
{'task_description': 4, 'ctr_description': 5, 'statement_description': 4, 'highlight_description': 5, 'answer_description': 5}, 0.6086911749562351
{'task_description': 7, 'ctr_description': 5, 'statement_description': 3, 'highlight_description': 6, 'answer_description': 6}, 0.6053333333333333
{'task_description': 5, 'ctr_description': 6, 'statement_description': 2, 'highlight_description': 7, 'answer_description': 6}, 0.6005965772643393
{'task_description': 6, 'ctr_description': 4, 'statement_description': 4, 'highlight_description': 4, 'answer_description': 5}, 0.5904146386871991
{'task_description': 5, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 7, 'answer_description': 4}, 0.5873590982286634
{'task_description': 3, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 8, 'answer_description': 4}, 0.5747841901688056
{'task_description': 5, 'ctr_description': 5, 'statement_description': 6, 'highlight_description': 7, 'answer_description': 8}, 0.5747342088805503
{'task_description': 6, 'ctr_description': 3, 'statement_description': 6, 'highlight_description': 5, 'answer_description': 6}, 0.5741893219783819
{'task_description': 6, 'ctr_description': 6, 'statement_description': 4, 'highlight_description': 6, 'answer_description': 5}, 0.5714285714285714
{'task_description': 3, 'ctr_description': 5, 'statement_description': 6, 'highlight_description': 4, 'answer_description': 7}, 0.5664885573142454
{'task_description': 5, 'ctr_description': 5, 'statement_description': 5, 'highlight_description': 7, 'answer_description': 6}, 0.5607419756026567
{'task_description': 4, 'ctr_description': 4, 'statement_description': 6, 'highlight_description': 4, 'answer_description': 7}, 0.5592948717948718
{'task_description': 6, 'ctr_description': 4, 'statement_description': 5, 'highlight_description': 8, 'answer_description': 6}, 0.5583508036338225
{'task_description': 6, 'ctr_description': 5, 'statement_description': 4, 'highlight_description': 8, 'answer_description': 6}, 0.5320855614973261
