{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.6848030018761726
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 1}, 0.6846709388668497
{'task_description': 2, 'ctr_description': 2, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 2}, 0.6895032051282051
{'task_description': 3, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 3, 'answer_description': 3}, 0.6849291090495362
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'highlight_description': 4, 'answer_description': 4}, 0.6899689968996899
{'task_description': 3, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.6713769306605324
{'task_description': 0, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 4, 'answer_description': 0}, 0.7049926248156204
{'task_description': 1, 'ctr_description': 2, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 1}, 0.7266929851199515
{'task_description': 2, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 3}, 0.6587715776796468
{'task_description': 3, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 4, 'answer_description': 0}, 0.696969696969697
{'task_description': 4, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 2}, 0.6441005802707931
{'task_description': 3, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 4, 'answer_description': 3}, 0.6596825396825396
{'task_description': 2, 'ctr_description': 2, 'statement_description': 3, 'highlight_description': 3, 'answer_description': 3}, 0.648735447611401
{'task_description': 1, 'ctr_description': 4, 'statement_description': 3, 'highlight_description': 3, 'answer_description': 1}, 0.6332650199546974
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 0}, 0.68
{'task_description': 4, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 2, 'answer_description': 4}, 0.64024220313648
{'task_description': 2, 'ctr_description': 0, 'statement_description': 3, 'highlight_description': 1, 'answer_description': 4}, 0.67499187479687
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'highlight_description': 4, 'answer_description': 3}, 0.6788438378161381
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 4, 'answer_description': 0}, 0.6899689968996899
{'task_description': 1, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 1, 'answer_description': 2}, 0.7050147492625369
{'task_description': 1, 'ctr_description': 1, 'statement_description': 4, 'highlight_description': 3, 'answer_description': 3}, 0.7076318177235609
{'task_description': 2, 'ctr_description': 0, 'statement_description': 3, 'highlight_description': 2, 'answer_description': 1}, 0.6788438378161381
{'task_description': 1, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 4}, 0.666999666999667
{'task_description': 4, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 1}, 0.6692848284415047
{'task_description': 3, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 2}, 0.6880032206119162
