{'task_description': 2, 'instruction_description': 2, 'answer_description': 2}, 0.6874561448652674
{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6827769964680394
{'task_description': 1, 'instruction_description': 1, 'answer_description': 1}, 0.6827427900583298
{'task_description': 3, 'instruction_description': 3, 'answer_description': 3}, 0.682141358989354
{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6819635512770879
{'task_description': 4, 'instruction_description': 6, 'answer_description': 4}, 0.6576874985917287
{'task_description': 8, 'instruction_description': 6, 'answer_description': 6}, 0.6570372482898279
{'task_description': 4, 'instruction_description': 8, 'answer_description': 8}, 0.6473824447154478
{'task_description': 8, 'instruction_description': 7, 'answer_description': 5}, 0.6469841279098911
{'task_description': 8, 'instruction_description': 4, 'answer_description': 5}, 0.6411554284009744
{'task_description': 6, 'instruction_description': 8, 'answer_description': 8}, 0.6351699501994696
{'task_description': 8, 'instruction_description': 6, 'answer_description': 7}, 0.6341347978924682
{'task_description': 6, 'instruction_description': 5, 'answer_description': 6}, 0.6277515722635199
{'task_description': 8, 'instruction_description': 6, 'answer_description': 5}, 0.6240021407431018
{'task_description': 5, 'instruction_description': 8, 'answer_description': 8}, 0.617088635654422
{'task_description': 5, 'instruction_description': 7, 'answer_description': 4}, 0.6133698744789633
{'task_description': 6, 'instruction_description': 5, 'answer_description': 7}, 0.6133688758243314
{'task_description': 5, 'instruction_description': 8, 'answer_description': 7}, 0.6095002187900131
{'task_description': 7, 'instruction_description': 5, 'answer_description': 5}, 0.606256045208158
{'task_description': 4, 'instruction_description': 5, 'answer_description': 5}, 0.603684777812451
{'task_description': 5, 'instruction_description': 8, 'answer_description': 5}, 0.600939777567203
{'task_description': 4, 'instruction_description': 5, 'answer_description': 5}, 0.5957168196452869
{'task_description': 5, 'instruction_description': 4, 'answer_description': 7}, 0.5952945904732907
{'task_description': 4, 'instruction_description': 8, 'answer_description': 4}, 0.590336826390429
{'task_description': 7, 'instruction_description': 6, 'answer_description': 8}, 0.5901397228110044
