{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6147748003246569
{'task_description': 1, 'instruction_description': 1, 'answer_description': 1}, 0.6815175510491782
{'task_description': 2, 'instruction_description': 2, 'answer_description': 2}, 0.5857763351588731
{'task_description': 3, 'instruction_description': 3, 'answer_description': 3}, 0.5993824280720353
{'task_description': 4, 'instruction_description': 4, 'answer_description': 4}, 0.6283742653359049
{'task_description': 3, 'instruction_description': 0, 'answer_description': 4}, 0.6316646873556884
{'task_description': 2, 'instruction_description': 3, 'answer_description': 4}, 0.6267742414315143
{'task_description': 1, 'instruction_description': 3, 'answer_description': 3}, 0.6131859129861437
{'task_description': 0, 'instruction_description': 4, 'answer_description': 3}, 0.6094439169585892
{'task_description': 2, 'instruction_description': 2, 'answer_description': 0}, 0.6065160279271697
{'task_description': 4, 'instruction_description': 4, 'answer_description': 2}, 0.6228363900086282
{'task_description': 3, 'instruction_description': 1, 'answer_description': 4}, 0.6668726279701591
{'task_description': 3, 'instruction_description': 2, 'answer_description': 2}, 0.600680195120286
{'task_description': 2, 'instruction_description': 4, 'answer_description': 4}, 0.6346218576264803
{'task_description': 0, 'instruction_description': 0, 'answer_description': 2}, 0.6541818814876577
{'task_description': 0, 'instruction_description': 0, 'answer_description': 3}, 0.6612080868156867
{'task_description': 4, 'instruction_description': 3, 'answer_description': 4}, 0.5633346124812262
{'task_description': 1, 'instruction_description': 1, 'answer_description': 4}, 0.6650225038280323
{'task_description': 0, 'instruction_description': 4, 'answer_description': 4}, 0.6448164019565452
{'task_description': 1, 'instruction_description': 2, 'answer_description': 4}, 0.6762249536136844
{'task_description': 1, 'instruction_description': 4, 'answer_description': 2}, 0.6397270801475174
{'task_description': 4, 'instruction_description': 0, 'answer_description': 0}, 0.6539388775561632
{'task_description': 4, 'instruction_description': 0, 'answer_description': 4}, 0.6229609074826201
{'task_description': 0, 'instruction_description': 3, 'answer_description': 0}, 0.6341737882207952
{'task_description': 3, 'instruction_description': 0, 'answer_description': 2}, 0.6733610971932759
