{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6729128087817131
{'task_description': 1, 'instruction_description': 0, 'answer_description': 1}, 0.668519719445061
{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6588576930771237
{'task_description': 2, 'instruction_description': 1, 'answer_description': 1}, 0.6569166220472499
{'task_description': 4, 'instruction_description': 5, 'answer_description': 4}, 0.6512482615847469
{'task_description': 2, 'instruction_description': 1, 'answer_description': 1}, 0.6494018185627524
{'task_description': 5, 'instruction_description': 5, 'answer_description': 3}, 0.6005914971892061
{'task_description': 7, 'instruction_description': 6, 'answer_description': 6}, 0.597450131902877
{'task_description': 7, 'instruction_description': 5, 'answer_description': 5}, 0.5965708805708982
{'task_description': 7, 'instruction_description': 4, 'answer_description': 2}, 0.5870798092715642
{'task_description': 5, 'instruction_description': 6, 'answer_description': 5}, 0.5870146876177035
{'task_description': 4, 'instruction_description': 2, 'answer_description': 2}, 0.5860070140544941
{'task_description': 6, 'instruction_description': 2, 'answer_description': 2}, 0.5824213770541313
{'task_description': 5, 'instruction_description': 3, 'answer_description': 5}, 0.5764553360400513
{'task_description': 6, 'instruction_description': 3, 'answer_description': 4}, 0.5728912313180438
{'task_description': 5, 'instruction_description': 3, 'answer_description': 6}, 0.572598698715439
{'task_description': 3, 'instruction_description': 5, 'answer_description': 4}, 0.562099823575928
{'task_description': 4, 'instruction_description': 3, 'answer_description': 5}, 0.5470982745087216
{'task_description': 5, 'instruction_description': 3, 'answer_description': 5}, 0.5456339231488538
{'task_description': 6, 'instruction_description': 2, 'answer_description': 6}, 0.5301141289139549
{'task_description': 4, 'instruction_description': 4, 'answer_description': 4}, 0.5178626130520639
{'task_description': 6, 'instruction_description': 5, 'answer_description': 4}, 0.48410174837728687
{'task_description': 3, 'instruction_description': 4, 'answer_description': 3}, 0.47610634530600054
{'task_description': 4, 'instruction_description': 2, 'answer_description': 6}, 0.44760387239685595
{'task_description': 3, 'instruction_description': 2, 'answer_description': 5}, 0.4312168537588801
