[0, 0, 0, 0], 0.9071661237785016
[1, 1, 1, 1], 0.8485342019543974
[2, 2, 2, 2], 0.8876221498371335
[3, 3, 3, 3], 0.8859934853420195
[4, 4, 4, 4], 0.8859934853420195
[5, 5, 5, 5], 0.9006514657980456
[6, 6, 6, 6], 0.7361563517915309
[7, 7, 7, 7], 0.9283387622149837
[8, 8, 8, 8], 0.8566775244299675
[9, 9, 9, 9], 0.9055374592833876
[10, 10, 10, 10], 0.8452768729641694
[11, 11, 11, 11], 0.7833876221498371
[12, 12, 12, 12], 0.9039087947882736
[13, 13, 13, 13], 0.8843648208469055
[14, 14, 14, 14], 0.8859934853420195
[15, 15, 15, 15], 0.8827361563517915
[16, 16, 16, 16], 0.7263843648208469
[17, 17, 17, 17], 0.8501628664495114
[18, 18, 18, 18], 0.8517915309446255
[19, 19, 19, 19], 0.8762214983713354
