{'Contradiction': 0.4444444444444444, 'Entailment': 0.7049441786283892, 'NotMentioned': 0.431784107946027}
{'Contradiction': 0.4484848484848485, 'Entailment': 0.6990131578947368, 'NotMentioned': 0.4531024531024531}
{'Contradiction': 0.24242424242424243, 'Entailment': 0.6935622317596567, 'NotMentioned': 0.5096525096525096}
{'Contradiction': 0.45161290322580644, 'Entailment': 0.6944444444444444, 'NotMentioned': 0.4489208633093525}
{'Contradiction': 0.43037974683544306, 'Entailment': 0.6929392446633826, 'NotMentioned': 0.4498567335243553}
{'Contradiction': 0.23809523809523808, 'Entailment': 0.7068965517241379, 'NotMentioned': 0.4375}
{'Contradiction': 0.4093567251461988, 'Entailment': 0.686541737649063, 'NotMentioned': 0.48010973936899864}
{'Contradiction': 0.2033898305084746, 'Entailment': 0.7045101088646968, 'NotMentioned': 0.42686567164179107}
{'Contradiction': 0.05405405405405406, 'Entailment': 0.6990881458966566, 'NotMentioned': 0.3894899536321484}
{'Contradiction': 0.017391304347826087, 'Entailment': 0.6678141135972461, 'NotMentioned': 0.4918444165621079}
{'Contradiction': 0.33497536945812806, 'Entailment': 0.6947852760736196, 'NotMentioned': 0.32451499118165783}
{'Contradiction': 0.05660377358490566, 'Entailment': 0.6699186991869919, 'NotMentioned': 0.43089430894308944}
{'Contradiction': 0.03669724770642202, 'Entailment': 0.6638865721434529, 'NotMentioned': 0.4464751958224543}
{'Contradiction': 0.325, 'Entailment': 0.6881889763779527, 'NotMentioned': 0.31560283687943264}
{'Contradiction': 0.32432432432432434, 'Entailment': 0.6960629921259842, 'NotMentioned': 0.27491408934707906}
{'Contradiction': 0.3709090909090909, 'Entailment': 0.6938775510204082, 'NotMentioned': 0.2361904761904762}
{'Contradiction': 0.10294117647058823, 'Entailment': 0.6545454545454545, 'NotMentioned': 0.40934065934065933}
{'Contradiction': 0.2764227642276423, 'Entailment': 0.689048760991207, 'NotMentioned': 0.29462738301559793}
{'Contradiction': 0.22459893048128343, 'Entailment': 0.6334256694367497, 'NotMentioned': 0.4626865671641791}
{'Contradiction': 0.026490066225165563, 'Entailment': 0.5723076923076923, 'NotMentioned': 0.540084388185654}
{'Contradiction': 0.302158273381295, 'Entailment': 0.6876513317191283, 'NotMentioned': 0.24416517055655296}
{'Contradiction': 0.33810888252148996, 'Entailment': 0.6854460093896714, 'NotMentioned': 0.035794183445190156}
{'Contradiction': 0.33432835820895523, 'Entailment': 0.686289697908598, 'NotMentioned': 0.026785714285714284}
{'Contradiction': 0.29765013054830286, 'Entailment': 0.6911165444172779, 'NotMentioned': 0.07758620689655173}
{'Contradiction': 0.29683698296836986, 'Entailment': 0.6672158154859967, 'NotMentioned': 0.044543429844097995}
