{'task_description': 3, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 2, 'answer_description_3_labels': 1}, 0.5901639344262295
{'task_description': 7, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 2, 'answer_description_3_labels': 3}, 0.5882352941176471
{'task_description': 5, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 2, 'answer_description_3_labels': 1}, 0.5824493731918997
{'task_description': 0, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 1, 'answer_description_3_labels': 1}, 0.5805207328833173
{'task_description': 3, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 2, 'answer_description_3_labels': 1}, 0.579556412729026
{'task_description': 2, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 0, 'answer_description_3_labels': 0}, 0.5776277724204436
{'task_description': 4, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 2, 'answer_description_3_labels': 1}, 0.5776277724204436
{'task_description': 1, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 0, 'answer_description_3_labels': 0}, 0.5756991321118612
{'task_description': 3, 'doc_description': 1, 'highlight_description': 2, 'statement_description': 1, 'answer_description_3_labels': 2}, 0.5756991321118612
{'task_description': 1, 'doc_description': 2, 'highlight_description': 1, 'statement_description': 5, 'answer_description_3_labels': 3}, 0.5737704918032787
{'task_description': 5, 'doc_description': 2, 'highlight_description': 4, 'statement_description': 2, 'answer_description_3_labels': 1}, 0.570877531340405
{'task_description': 6, 'doc_description': 1, 'highlight_description': 3, 'statement_description': 4, 'answer_description_3_labels': 1}, 0.570877531340405
{'task_description': 7, 'doc_description': 1, 'highlight_description': 3, 'statement_description': 2, 'answer_description_3_labels': 1}, 0.570877531340405
{'task_description': 3, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 2, 'answer_description_3_labels': 2}, 0.5699132111861138
{'task_description': 6, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 4, 'answer_description_3_labels': 1}, 0.5679845708775313
{'task_description': 5, 'doc_description': 1, 'highlight_description': 4, 'statement_description': 2, 'answer_description_3_labels': 1}, 0.5660559305689489
{'task_description': 3, 'doc_description': 2, 'highlight_description': 0, 'statement_description': 4, 'answer_description_3_labels': 1}, 0.5602700096432015
{'task_description': 5, 'doc_description': 1, 'highlight_description': 4, 'statement_description': 3, 'answer_description_3_labels': 1}, 0.5573770491803278
{'task_description': 6, 'doc_description': 1, 'highlight_description': 3, 'statement_description': 5, 'answer_description_3_labels': 1}, 0.5573770491803278
{'task_description': 1, 'doc_description': 1, 'highlight_description': 3, 'statement_description': 2, 'answer_description_3_labels': 1}, 0.5564127290260367
{'task_description': 5, 'doc_description': 1, 'highlight_description': 3, 'statement_description': 2, 'answer_description_3_labels': 1}, 0.553519768563163
{'task_description': 6, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 5, 'answer_description_3_labels': 1}, 0.5467695274831244
{'task_description': 5, 'doc_description': 1, 'highlight_description': 3, 'statement_description': 2, 'answer_description_3_labels': 2}, 0.5429122468659595
{'task_description': 1, 'doc_description': 1, 'highlight_description': 4, 'statement_description': 3, 'answer_description_3_labels': 3}, 0.5409836065573771
{'task_description': 7, 'doc_description': 1, 'highlight_description': 3, 'statement_description': 3, 'answer_description_3_labels': 3}, 0.5110896817743491
