{'task_description': 0, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.6889250814332247
{'task_description': 1, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.7280130293159609
{'task_description': 2, 'doc_description': 2, 'highlight_description': 2, 'statement_description': 2, 'answer_description_2_labels': 2}, 0.5456026058631922
{'task_description': 3, 'doc_description': 3, 'highlight_description': 3, 'statement_description': 3, 'answer_description_2_labels': 3}, 0.5732899022801303
{'task_description': 4, 'doc_description': 4, 'highlight_description': 4, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.6807817589576547
{'task_description': 0, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.7280130293159609
{'task_description': 4, 'doc_description': 0, 'highlight_description': 3, 'statement_description': 0, 'answer_description_2_labels': 1}, 0.7052117263843648
{'task_description': 0, 'doc_description': 3, 'highlight_description': 1, 'statement_description': 1, 'answer_description_2_labels': 4}, 0.7328990228013029
{'task_description': 0, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.7899022801302932
{'task_description': 3, 'doc_description': 4, 'highlight_description': 4, 'statement_description': 1, 'answer_description_2_labels': 2}, 0.6042345276872965
{'task_description': 0, 'doc_description': 1, 'highlight_description': 4, 'statement_description': 2, 'answer_description_2_labels': 2}, 0.5521172638436482
{'task_description': 3, 'doc_description': 3, 'highlight_description': 4, 'statement_description': 2, 'answer_description_2_labels': 4}, 0.4723127035830619
{'task_description': 4, 'doc_description': 2, 'highlight_description': 3, 'statement_description': 2, 'answer_description_2_labels': 2}, 0.5798045602605864
{'task_description': 2, 'doc_description': 2, 'highlight_description': 0, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.6351791530944625
{'task_description': 2, 'doc_description': 3, 'highlight_description': 3, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.757328990228013
{'task_description': 3, 'doc_description': 3, 'highlight_description': 2, 'statement_description': 2, 'answer_description_2_labels': 4}, 0.4837133550488599
{'task_description': 0, 'doc_description': 3, 'highlight_description': 3, 'statement_description': 0, 'answer_description_2_labels': 1}, 0.6824104234527687
{'task_description': 4, 'doc_description': 2, 'highlight_description': 3, 'statement_description': 0, 'answer_description_2_labels': 1}, 0.6986970684039088
{'task_description': 2, 'doc_description': 2, 'highlight_description': 1, 'statement_description': 2, 'answer_description_2_labels': 3}, 0.5374592833876222
{'task_description': 1, 'doc_description': 3, 'highlight_description': 2, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.7052117263843648
{'task_description': 0, 'doc_description': 3, 'highlight_description': 1, 'statement_description': 0, 'answer_description_2_labels': 4}, 0.6791530944625407
{'task_description': 1, 'doc_description': 0, 'highlight_description': 4, 'statement_description': 0, 'answer_description_2_labels': 1}, 0.6710097719869706
{'task_description': 0, 'doc_description': 3, 'highlight_description': 0, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.6791530944625407
{'task_description': 0, 'doc_description': 4, 'highlight_description': 3, 'statement_description': 2, 'answer_description_2_labels': 2}, 0.5537459283387622
{'task_description': 2, 'doc_description': 2, 'highlight_description': 2, 'statement_description': 0, 'answer_description_2_labels': 1}, 0.6335504885993485
