{'task_description': 1, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.9006514657980456
{'task_description': 1, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.9006514657980456
{'task_description': 0, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.8990228013029316
{'task_description': 0, 'doc_description': 2, 'highlight_description': 2, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.8990228013029316
{'task_description': 0, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.8990228013029316
{'task_description': 0, 'doc_description': 1, 'highlight_description': 6, 'statement_description': 3, 'answer_description_2_labels': 0}, 0.8941368078175895
{'task_description': 2, 'doc_description': 4, 'highlight_description': 4, 'statement_description': 3, 'answer_description_2_labels': 0}, 0.8925081433224755
{'task_description': 0, 'doc_description': 4, 'highlight_description': 3, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.8908794788273615
{'task_description': 0, 'doc_description': 3, 'highlight_description': 3, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.8908794788273615
{'task_description': 2, 'doc_description': 5, 'highlight_description': 5, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.8892508143322475
{'task_description': 2, 'doc_description': 3, 'highlight_description': 4, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.8843648208469055
{'task_description': 0, 'doc_description': 2, 'highlight_description': 5, 'statement_description': 2, 'answer_description_2_labels': 1}, 0.8843648208469055
{'task_description': 0, 'doc_description': 4, 'highlight_description': 5, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.8827361563517915
{'task_description': 2, 'doc_description': 5, 'highlight_description': 4, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.8794788273615635
{'task_description': 2, 'doc_description': 3, 'highlight_description': 5, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.8778501628664495
{'task_description': 2, 'doc_description': 4, 'highlight_description': 3, 'statement_description': 4, 'answer_description_2_labels': 1}, 0.8778501628664495
{'task_description': 0, 'doc_description': 5, 'highlight_description': 4, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.8762214983713354
{'task_description': 2, 'doc_description': 4, 'highlight_description': 3, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.8762214983713354
{'task_description': 2, 'doc_description': 5, 'highlight_description': 4, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.8745928338762216
{'task_description': 2, 'doc_description': 5, 'highlight_description': 3, 'statement_description': 3, 'answer_description_2_labels': 1}, 0.8729641693811075
{'task_description': 2, 'doc_description': 5, 'highlight_description': 5, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.8713355048859935
{'task_description': 0, 'doc_description': 2, 'highlight_description': 4, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.8664495114006515
{'task_description': 2, 'doc_description': 2, 'highlight_description': 4, 'statement_description': 3, 'answer_description_2_labels': 1}, 0.8615635179153095
{'task_description': 0, 'doc_description': 5, 'highlight_description': 4, 'statement_description': 3, 'answer_description_2_labels': 1}, 0.8485342019543974
{'task_description': 2, 'doc_description': 5, 'highlight_description': 4, 'statement_description': 4, 'answer_description_2_labels': 1}, 0.8485342019543974
