{'task_description': 1, 'doc_description': 2, 'highlight_description': 1, 'statement_description': 3, 'answer_description_2_labels': 1}, 0.8697068403908795
{'task_description': 0, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 3, 'answer_description_2_labels': 0}, 0.8371335504885994
{'task_description': 1, 'doc_description': 5, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.8208469055374593
{'task_description': 1, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 2, 'answer_description_2_labels': 0}, 0.8143322475570033
{'task_description': 0, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.8094462540716613
{'task_description': 1, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.8045602605863192
{'task_description': 3, 'doc_description': 6, 'highlight_description': 0, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.7996742671009772
{'task_description': 1, 'doc_description': 6, 'highlight_description': 0, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.7964169381107492
{'task_description': 1, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.7931596091205212
{'task_description': 3, 'doc_description': 3, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 4}, 0.7850162866449512
{'task_description': 3, 'doc_description': 5, 'highlight_description': 2, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.760586319218241
{'task_description': 2, 'doc_description': 3, 'highlight_description': 2, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.757328990228013
{'task_description': 3, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.750814332247557
{'task_description': 1, 'doc_description': 4, 'highlight_description': 0, 'statement_description': 4, 'answer_description_2_labels': 2}, 0.7263843648208469
{'task_description': 3, 'doc_description': 5, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.7117263843648208
{'task_description': 1, 'doc_description': 4, 'highlight_description': 1, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.6970684039087948
{'task_description': 1, 'doc_description': 6, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.6758957654723127
{'task_description': 1, 'doc_description': 4, 'highlight_description': 0, 'statement_description': 4, 'answer_description_2_labels': 3}, 0.6710097719869706
{'task_description': 2, 'doc_description': 5, 'highlight_description': 1, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.6644951140065146
{'task_description': 1, 'doc_description': 3, 'highlight_description': 0, 'statement_description': 4, 'answer_description_2_labels': 3}, 0.6612377850162866
{'task_description': 1, 'doc_description': 6, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 3}, 0.6547231270358306
{'task_description': 1, 'doc_description': 6, 'highlight_description': 1, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.6514657980456026
{'task_description': 2, 'doc_description': 6, 'highlight_description': 2, 'statement_description': 4, 'answer_description_2_labels': 2}, 0.6482084690553745
{'task_description': 1, 'doc_description': 5, 'highlight_description': 0, 'statement_description': 5, 'answer_description_2_labels': 3}, 0.43485342019543977
{'task_description': 2, 'doc_description': 6, 'highlight_description': 2, 'statement_description': 5, 'answer_description_2_labels': 0}, 0.40390879478827363
