{'task_description': 0, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.37623762376237624
{'task_description': 1, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.4611032531824611
{'task_description': 2, 'doc_description': 2, 'highlight_description': 2, 'statement_description': 2, 'answer_description_2_labels': 2}, 0.26732673267326734
{'task_description': 3, 'doc_description': 3, 'highlight_description': 3, 'statement_description': 3, 'answer_description_2_labels': 3}, 0.32531824611032534
{'task_description': 4, 'doc_description': 4, 'highlight_description': 4, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.4314002828854314
{'task_description': 1, 'doc_description': 3, 'highlight_description': 4, 'statement_description': 0, 'answer_description_2_labels': 1}, 0.38613861386138615
{'task_description': 1, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 3, 'answer_description_2_labels': 1}, 0.3578500707213578
{'task_description': 3, 'doc_description': 0, 'highlight_description': 4, 'statement_description': 0, 'answer_description_2_labels': 3}, 0.25035360678925034
{'task_description': 4, 'doc_description': 3, 'highlight_description': 2, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.4314002828854314
{'task_description': 3, 'doc_description': 1, 'highlight_description': 4, 'statement_description': 2, 'answer_description_2_labels': 1}, 0.256011315417256
{'task_description': 4, 'doc_description': 4, 'highlight_description': 0, 'statement_description': 3, 'answer_description_2_labels': 2}, 0.37623762376237624
{'task_description': 2, 'doc_description': 3, 'highlight_description': 4, 'statement_description': 3, 'answer_description_2_labels': 3}, 0.31824611032531824
{'task_description': 0, 'doc_description': 1, 'highlight_description': 4, 'statement_description': 1, 'answer_description_2_labels': 4}, 0.33663366336633666
{'task_description': 1, 'doc_description': 1, 'highlight_description': 4, 'statement_description': 1, 'answer_description_2_labels': 4}, 0.3536067892503536
{'task_description': 1, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 3, 'answer_description_2_labels': 3}, 0.32107496463932106
{'task_description': 0, 'doc_description': 3, 'highlight_description': 4, 'statement_description': 3, 'answer_description_2_labels': 4}, 0.347949080622348
{'task_description': 4, 'doc_description': 1, 'highlight_description': 4, 'statement_description': 0, 'answer_description_2_labels': 3}, 0.27864214992927866
{'task_description': 1, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 2, 'answer_description_2_labels': 3}, 0.23196605374823195
{'task_description': 0, 'doc_description': 4, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.32531824611032534
{'task_description': 2, 'doc_description': 3, 'highlight_description': 0, 'statement_description': 3, 'answer_description_2_labels': 3}, 0.297029702970297
{'task_description': 4, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 3, 'answer_description_2_labels': 2}, 0.355021216407355
{'task_description': 0, 'doc_description': 2, 'highlight_description': 3, 'statement_description': 3, 'answer_description_2_labels': 0}, 0.44271570014144274
{'task_description': 0, 'doc_description': 2, 'highlight_description': 3, 'statement_description': 1, 'answer_description_2_labels': 3}, 0.38472418670438474
{'task_description': 0, 'doc_description': 4, 'highlight_description': 4, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.32531824611032534
{'task_description': 0, 'doc_description': 2, 'highlight_description': 4, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.32107496463932106
