{'task_description': 0, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.37623762376237624
{'task_description': 1, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.4611032531824611
{'task_description': 2, 'doc_description': 2, 'highlight_description': 2, 'statement_description': 2, 'answer_description_2_labels': 2}, 0.26732673267326734
{'task_description': 3, 'doc_description': 3, 'highlight_description': 3, 'statement_description': 3, 'answer_description_2_labels': 3}, 0.32531824611032534
{'task_description': 4, 'doc_description': 4, 'highlight_description': 4, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.4314002828854314
{'task_description': 1, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 3}, 0.2828854314002829
{'task_description': 1, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 3, 'answer_description_2_labels': 4}, 0.38472418670438474
{'task_description': 4, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.4809052333804809
{'task_description': 1, 'doc_description': 3, 'highlight_description': 0, 'statement_description': 2, 'answer_description_2_labels': 3}, 0.23196605374823195
{'task_description': 3, 'doc_description': 3, 'highlight_description': 1, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.43847241867043846
{'task_description': 1, 'doc_description': 2, 'highlight_description': 0, 'statement_description': 2, 'answer_description_2_labels': 1}, 0.26732673267326734
{'task_description': 3, 'doc_description': 4, 'highlight_description': 2, 'statement_description': 2, 'answer_description_2_labels': 3}, 0.24045261669024046
{'task_description': 2, 'doc_description': 4, 'highlight_description': 1, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.6393210749646393
{'task_description': 2, 'doc_description': 0, 'highlight_description': 2, 'statement_description': 2, 'answer_description_2_labels': 1}, 0.2758132956152758
{'task_description': 2, 'doc_description': 4, 'highlight_description': 2, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.48656294200848654
{'task_description': 1, 'doc_description': 2, 'highlight_description': 2, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.28995756718529
{'task_description': 2, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 4, 'answer_description_2_labels': 3}, 0.38896746817538896
{'task_description': 0, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.4752475247524752
{'task_description': 0, 'doc_description': 3, 'highlight_description': 0, 'statement_description': 4, 'answer_description_2_labels': 3}, 0.31117397454031115
{'task_description': 0, 'doc_description': 4, 'highlight_description': 1, 'statement_description': 2, 'answer_description_2_labels': 3}, 0.25742574257425743
{'task_description': 4, 'doc_description': 4, 'highlight_description': 3, 'statement_description': 4, 'answer_description_2_labels': 2}, 0.4045261669024045
{'task_description': 1, 'doc_description': 3, 'highlight_description': 4, 'statement_description': 4, 'answer_description_2_labels': 2}, 0.4073550212164074
{'task_description': 4, 'doc_description': 4, 'highlight_description': 3, 'statement_description': 2, 'answer_description_2_labels': 3}, 0.25884016973125884
{'task_description': 1, 'doc_description': 0, 'highlight_description': 2, 'statement_description': 3, 'answer_description_2_labels': 1}, 0.32673267326732675
{'task_description': 2, 'doc_description': 0, 'highlight_description': 2, 'statement_description': 4, 'answer_description_2_labels': 4}, 0.42715700141442714
