{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.2299265125963395
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.22760262286045813
{'task_description': 1, 'doc_description': 0, 'answer_description': 1}, 0.2261274787175582
{'task_description': 2, 'doc_description': 0, 'answer_description': 2}, 0.22564578526784312
{'task_description': 2, 'doc_description': 2, 'answer_description': 1}, 0.224726677822411
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.22405800273209076
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.22096828396909096
{'task_description': 3, 'doc_description': 0, 'answer_description': 1}, 0.22051496433041223
{'task_description': 4, 'doc_description': 0, 'answer_description': 0}, 0.2182012424435266
{'task_description': 0, 'doc_description': 2, 'answer_description': 1}, 0.21662425769838944
{'task_description': 2, 'doc_description': 0, 'answer_description': 1}, 0.21635885893663767
{'task_description': 3, 'doc_description': 3, 'answer_description': 1}, 0.21579792543283913
{'task_description': 2, 'doc_description': 0, 'answer_description': 0}, 0.2135830059709704
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.21346430146368925
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.21203998104010868
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.21193864579091037
{'task_description': 4, 'doc_description': 0, 'answer_description': 1}, 0.20938114206955216
{'task_description': 2, 'doc_description': 1, 'answer_description': 1}, 0.20832988756917972
{'task_description': 0, 'doc_description': 2, 'answer_description': 1}, 0.20745627653468657
{'task_description': 2, 'doc_description': 2, 'answer_description': 0}, 0.2059645181541112
{'task_description': 2, 'doc_description': 1, 'answer_description': 1}, 0.2057564873600694
{'task_description': 3, 'doc_description': 2, 'answer_description': 0}, 0.2057097313436747
{'task_description': 0, 'doc_description': 3, 'answer_description': 1}, 0.20501963512420007
{'task_description': 2, 'doc_description': 3, 'answer_description': 0}, 0.19890706900120433
{'task_description': 4, 'doc_description': 3, 'answer_description': 0}, 0.198232475147535
