{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.2281182786199321
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.2279870353271548
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.22736547920381145
{'task_description': 0, 'doc_description': 0, 'answer_description': 2}, 0.2272639944780966
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.22684868661537028
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.2258060147780612
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.2257348569770019
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.22543635441008847
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.22298429237600162
{'task_description': 2, 'doc_description': 0, 'answer_description': 0}, 0.2229086330088641
{'task_description': 2, 'doc_description': 0, 'answer_description': 0}, 0.22219086835697047
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.2217510991200004
{'task_description': 2, 'doc_description': 0, 'answer_description': 0}, 0.21668157662688958
{'task_description': 4, 'doc_description': 0, 'answer_description': 0}, 0.21389923615865075
{'task_description': 3, 'doc_description': 0, 'answer_description': 0}, 0.2126143583372166
{'task_description': 3, 'doc_description': 0, 'answer_description': 1}, 0.20918821690698933
{'task_description': 2, 'doc_description': 0, 'answer_description': 3}, 0.20889168807656383
{'task_description': 5, 'doc_description': 0, 'answer_description': 0}, 0.20759251107265458
{'task_description': 3, 'doc_description': 0, 'answer_description': 3}, 0.20628385055501972
{'task_description': 5, 'doc_description': 0, 'answer_description': 0}, 0.2059094488640047
{'task_description': 3, 'doc_description': 0, 'answer_description': 0}, 0.20293433756900142
{'task_description': 3, 'doc_description': 0, 'answer_description': 1}, 0.20279574151176066
{'task_description': 5, 'doc_description': 0, 'answer_description': 0}, 0.20245024025519942
{'task_description': 4, 'doc_description': 0, 'answer_description': 3}, 0.20074563158572994
{'task_description': 4, 'doc_description': 0, 'answer_description': 3}, 0.19908217368412431
