{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.22205105815943224
{'task_description': 1, 'doc_description': 1, 'answer_description': 1}, 0.20922776234167545
{'task_description': 2, 'doc_description': 2, 'answer_description': 2}, 0.20022317357210442
{'task_description': 3, 'doc_description': 3, 'answer_description': 3}, 0.16197908166266195
{'task_description': 4, 'doc_description': 4, 'answer_description': 4}, 0.1487592253910659
{'task_description': 0, 'doc_description': 2, 'answer_description': 1}, 0.20185823402727182
{'task_description': 1, 'doc_description': 0, 'answer_description': 1}, 0.21757373427489674
{'task_description': 4, 'doc_description': 0, 'answer_description': 4}, 0.1493456257943217
{'task_description': 1, 'doc_description': 1, 'answer_description': 4}, 0.15785349477577756
{'task_description': 0, 'doc_description': 3, 'answer_description': 4}, 0.15990490041249172
{'task_description': 2, 'doc_description': 2, 'answer_description': 4}, 0.1593345980632917
{'task_description': 4, 'doc_description': 3, 'answer_description': 0}, 0.19987304123035265
{'task_description': 2, 'doc_description': 4, 'answer_description': 0}, 0.2044594483008072
{'task_description': 3, 'doc_description': 2, 'answer_description': 4}, 0.13162465617397823
{'task_description': 0, 'doc_description': 1, 'answer_description': 1}, 0.20382677097920082
{'task_description': 3, 'doc_description': 0, 'answer_description': 1}, 0.16693578037243312
{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.20819335739913641
{'task_description': 0, 'doc_description': 3, 'answer_description': 3}, 0.20507035421189923
{'task_description': 2, 'doc_description': 0, 'answer_description': 2}, 0.21365280878787146
{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.2129200526166479
{'task_description': 1, 'doc_description': 2, 'answer_description': 2}, 0.1969099158488968
{'task_description': 1, 'doc_description': 4, 'answer_description': 1}, 0.2050128242128489
{'task_description': 0, 'doc_description': 1, 'answer_description': 4}, 0.1617347298098723
{'task_description': 0, 'doc_description': 3, 'answer_description': 1}, 0.20528514375572524
{'task_description': 3, 'doc_description': 1, 'answer_description': 1}, 0.16818158338482225
