{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.23497596678823954
{'task_description': 2, 'doc_description': 2, 'answer_description': 1, 'example_description': 0}, 0.23156416439141903
{'task_description': 5, 'doc_description': 6, 'answer_description': 5, 'example_description': 1}, 0.2313918629037552
{'task_description': 1, 'doc_description': 4, 'answer_description': 2, 'example_description': 1}, 0.2295895576691036
{'task_description': 5, 'doc_description': 6, 'answer_description': 5, 'example_description': 1}, 0.22733547311795374
{'task_description': 1, 'doc_description': 1, 'answer_description': 1, 'example_description': 1}, 0.2267680768187296
{'task_description': 3, 'doc_description': 3, 'answer_description': 0, 'example_description': 2}, 0.22506109491783166
{'task_description': 5, 'doc_description': 3, 'answer_description': 3, 'example_description': 1}, 0.22114312908523776
{'task_description': 4, 'doc_description': 5, 'answer_description': 5, 'example_description': 1}, 0.2204828293015223
{'task_description': 4, 'doc_description': 7, 'answer_description': 0, 'example_description': 3}, 0.21659044289927587
{'task_description': 7, 'doc_description': 8, 'answer_description': 4, 'example_description': 1}, 0.21553757511804877
{'task_description': 6, 'doc_description': 7, 'answer_description': 2, 'example_description': 3}, 0.21343413980108242
{'task_description': 4, 'doc_description': 8, 'answer_description': 3, 'example_description': 1}, 0.2114612409296837
{'task_description': 6, 'doc_description': 7, 'answer_description': 0, 'example_description': 1}, 0.21026620121197853
{'task_description': 4, 'doc_description': 8, 'answer_description': 4, 'example_description': 1}, 0.20931900186485144
{'task_description': 5, 'doc_description': 6, 'answer_description': 5, 'example_description': 3}, 0.20900905211772305
{'task_description': 1, 'doc_description': 5, 'answer_description': 4, 'example_description': 1}, 0.20869470681995103
{'task_description': 5, 'doc_description': 3, 'answer_description': 0, 'example_description': 0}, 0.20840313043701392
{'task_description': 6, 'doc_description': 3, 'answer_description': 2, 'example_description': 1}, 0.20812529961131332
{'task_description': 6, 'doc_description': 3, 'answer_description': 0, 'example_description': 0}, 0.20780519839729447
{'task_description': 1, 'doc_description': 6, 'answer_description': 4, 'example_description': 3}, 0.20324088567800896
{'task_description': 5, 'doc_description': 3, 'answer_description': 2, 'example_description': 0}, 0.20168891663901617
{'task_description': 7, 'doc_description': 8, 'answer_description': 3, 'example_description': 1}, 0.19915235741584797
{'task_description': 5, 'doc_description': 6, 'answer_description': 4, 'example_description': 1}, 0.19715042630494448
{'task_description': 4, 'doc_description': 8, 'answer_description': 0, 'example_description': 1}, 0.19351946767367803
