{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 2}, 0.19975308861888336
{'task_description': 2, 'doc_description': 5, 'answer_description': 2, 'example_description': 2}, 0.19913113283375794
{'task_description': 3, 'doc_description': 3, 'answer_description': 0, 'example_description': 3}, 0.1983954171585281
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.19765897639304575
{'task_description': 2, 'doc_description': 2, 'answer_description': 0, 'example_description': 2}, 0.19683692611537862
{'task_description': 2, 'doc_description': 2, 'answer_description': 1, 'example_description': 2}, 0.19674120656007943
{'task_description': 2, 'doc_description': 1, 'answer_description': 0, 'example_description': 1}, 0.1963512210373419
{'task_description': 2, 'doc_description': 3, 'answer_description': 3, 'example_description': 0}, 0.18910560782712285
{'task_description': 2, 'doc_description': 1, 'answer_description': 4, 'example_description': 5}, 0.1887052189775148
{'task_description': 4, 'doc_description': 5, 'answer_description': 2, 'example_description': 6}, 0.18539647928600356
{'task_description': 2, 'doc_description': 5, 'answer_description': 0, 'example_description': 0}, 0.18522698045092217
{'task_description': 4, 'doc_description': 4, 'answer_description': 0, 'example_description': 6}, 0.18514888776279653
{'task_description': 4, 'doc_description': 3, 'answer_description': 0, 'example_description': 4}, 0.18510865647833608
{'task_description': 4, 'doc_description': 2, 'answer_description': 0, 'example_description': 5}, 0.18307984568803326
{'task_description': 6, 'doc_description': 2, 'answer_description': 4, 'example_description': 0}, 0.18283372051311933
{'task_description': 2, 'doc_description': 2, 'answer_description': 2, 'example_description': 6}, 0.18042988996434262
{'task_description': 2, 'doc_description': 4, 'answer_description': 2, 'example_description': 2}, 0.18009355626188717
{'task_description': 6, 'doc_description': 3, 'answer_description': 2, 'example_description': 0}, 0.17984201384324888
{'task_description': 6, 'doc_description': 3, 'answer_description': 4, 'example_description': 0}, 0.17836651827115757
{'task_description': 2, 'doc_description': 2, 'answer_description': 3, 'example_description': 0}, 0.1727174159100748
{'task_description': 4, 'doc_description': 2, 'answer_description': 3, 'example_description': 2}, 0.17154995235995368
{'task_description': 5, 'doc_description': 2, 'answer_description': 3, 'example_description': 4}, 0.17127861734096445
{'task_description': 2, 'doc_description': 2, 'answer_description': 3, 'example_description': 6}, 0.1703502533470747
{'task_description': 5, 'doc_description': 1, 'answer_description': 3, 'example_description': 2}, 0.15848692518262308
{'task_description': 2, 'doc_description': 3, 'answer_description': 3, 'example_description': 5}, 0.15251786735329736
