{'task_description': 1, 'doc_description': 3, 'answer_description': 1, 'example_description': 0}, 0.22620956847070323
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 2}, 0.2247534269801852
{'task_description': 1, 'doc_description': 0, 'answer_description': 1, 'example_description': 1}, 0.22309280442335444
{'task_description': 1, 'doc_description': 2, 'answer_description': 0, 'example_description': 3}, 0.2188553996143113
{'task_description': 0, 'doc_description': 2, 'answer_description': 1, 'example_description': 1}, 0.21835687995347042
{'task_description': 2, 'doc_description': 2, 'answer_description': 0, 'example_description': 6}, 0.2161422725661363
{'task_description': 0, 'doc_description': 2, 'answer_description': 0, 'example_description': 2}, 0.21599897499284054
{'task_description': 0, 'doc_description': 4, 'answer_description': 0, 'example_description': 4}, 0.21353794223411698
{'task_description': 3, 'doc_description': 2, 'answer_description': 0, 'example_description': 4}, 0.20859086568825247
{'task_description': 3, 'doc_description': 2, 'answer_description': 0, 'example_description': 5}, 0.20652754458539802
{'task_description': 0, 'doc_description': 2, 'answer_description': 4, 'example_description': 5}, 0.20515464951801685
{'task_description': 3, 'doc_description': 4, 'answer_description': 0, 'example_description': 5}, 0.20376009068734574
{'task_description': 4, 'doc_description': 1, 'answer_description': 2, 'example_description': 5}, 0.19421472885720517
{'task_description': 3, 'doc_description': 2, 'answer_description': 5, 'example_description': 5}, 0.1909879320894487
{'task_description': 3, 'doc_description': 2, 'answer_description': 5, 'example_description': 2}, 0.19042520577553024
{'task_description': 2, 'doc_description': 2, 'answer_description': 2, 'example_description': 1}, 0.19036383002288731
{'task_description': 3, 'doc_description': 1, 'answer_description': 4, 'example_description': 6}, 0.19005663136002457
{'task_description': 0, 'doc_description': 4, 'answer_description': 2, 'example_description': 2}, 0.18993709278418663
{'task_description': 0, 'doc_description': 2, 'answer_description': 5, 'example_description': 5}, 0.18991998109424726
{'task_description': 3, 'doc_description': 2, 'answer_description': 4, 'example_description': 6}, 0.18738618800951648
{'task_description': 3, 'doc_description': 4, 'answer_description': 4, 'example_description': 6}, 0.18467458015666466
{'task_description': 3, 'doc_description': 2, 'answer_description': 3, 'example_description': 4}, 0.16630281956413967
{'task_description': 2, 'doc_description': 2, 'answer_description': 5, 'example_description': 5}, 0.1581114206704745
{'task_description': 2, 'doc_description': 1, 'answer_description': 2, 'example_description': 5}, 0.15108901311074324
{'task_description': 4, 'doc_description': 1, 'answer_description': 3, 'example_description': 5}, 0.14778876074800867
