{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.22948661057920422
{'task_description': 2, 'doc_description': 1, 'answer_description': 1, 'example_description': 1}, 0.21788879487112395
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.21687366070362757
{'task_description': 0, 'doc_description': 2, 'answer_description': 0, 'example_description': 2}, 0.2141401382950914
{'task_description': 2, 'doc_description': 1, 'answer_description': 0, 'example_description': 2}, 0.21088055017730706
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.2099685705442331
{'task_description': 1, 'doc_description': 2, 'answer_description': 1, 'example_description': 0}, 0.20950677802148898
{'task_description': 0, 'doc_description': 2, 'answer_description': 0, 'example_description': 2}, 0.20810366971203828
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.20745099119641347
{'task_description': 2, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.20726133246298403
{'task_description': 3, 'doc_description': 0, 'answer_description': 1, 'example_description': 0}, 0.20473486126004717
{'task_description': 3, 'doc_description': 2, 'answer_description': 0, 'example_description': 2}, 0.20442994922207125
{'task_description': 2, 'doc_description': 1, 'answer_description': 1, 'example_description': 2}, 0.20363165480993117
{'task_description': 2, 'doc_description': 2, 'answer_description': 0, 'example_description': 1}, 0.20337359540559774
{'task_description': 0, 'doc_description': 0, 'answer_description': 1, 'example_description': 0}, 0.2022456616299221
{'task_description': 1, 'doc_description': 1, 'answer_description': 1, 'example_description': 2}, 0.20200685750551112
{'task_description': 1, 'doc_description': 0, 'answer_description': 1, 'example_description': 0}, 0.20167883891739025
{'task_description': 1, 'doc_description': 0, 'answer_description': 1, 'example_description': 2}, 0.20108680001000018
{'task_description': 2, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.2010203724091733
{'task_description': 1, 'doc_description': 1, 'answer_description': 1, 'example_description': 1}, 0.20097476878900317
{'task_description': 3, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.20008577492187307
{'task_description': 3, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.19973871466797471
{'task_description': 3, 'doc_description': 1, 'answer_description': 1, 'example_description': 2}, 0.1996703568465306
{'task_description': 0, 'doc_description': 1, 'answer_description': 1, 'example_description': 0}, 0.1935753706189764
{'task_description': 2, 'doc_description': 0, 'answer_description': 1, 'example_description': 0}, 0.19239794706950092
