{'task_description': 1, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.4561367687805601
{'task_description': 2, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.45025862998254607
{'task_description': 1, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.4461874130141993
{'task_description': 0, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.44546964336444306
{'task_description': 1, 'example_description': 1, 'dialog_description': 0, 'answer_description': 2}, 0.4447570050639328
{'task_description': 2, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.4440193175587477
{'task_description': 2, 'example_description': 0, 'dialog_description': 0, 'answer_description': 1}, 0.4398328130037459
{'task_description': 2, 'example_description': 1, 'dialog_description': 1, 'answer_description': 0}, 0.43801398643654166
{'task_description': 2, 'example_description': 0, 'dialog_description': 1, 'answer_description': 2}, 0.4361134311495507
{'task_description': 0, 'example_description': 1, 'dialog_description': 1, 'answer_description': 0}, 0.43443241869541893
{'task_description': 2, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.43174452422098886
{'task_description': 2, 'example_description': 1, 'dialog_description': 0, 'answer_description': 1}, 0.4297621114356709
{'task_description': 2, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.4280294113485954
{'task_description': 2, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.4279265207053359
{'task_description': 0, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.42360902203744755
{'task_description': 3, 'example_description': 0, 'dialog_description': 0, 'answer_description': 1}, 0.42120443333079494
{'task_description': 2, 'example_description': 0, 'dialog_description': 1, 'answer_description': 2}, 0.41826482951808297
{'task_description': 3, 'example_description': 0, 'dialog_description': 0, 'answer_description': 2}, 0.4165186543198975
{'task_description': 0, 'example_description': 0, 'dialog_description': 0, 'answer_description': 1}, 0.415223304188712
{'task_description': 2, 'example_description': 1, 'dialog_description': 1, 'answer_description': 0}, 0.41465273462078894
{'task_description': 3, 'example_description': 1, 'dialog_description': 0, 'answer_description': 1}, 0.41201408190164446
{'task_description': 3, 'example_description': 0, 'dialog_description': 1, 'answer_description': 0}, 0.4091535511805433
{'task_description': 1, 'example_description': 0, 'dialog_description': 0, 'answer_description': 2}, 0.40492981176482257
{'task_description': 3, 'example_description': 0, 'dialog_description': 0, 'answer_description': 1}, 0.40458023992462533
{'task_description': 2, 'example_description': 0, 'dialog_description': 0, 'answer_description': 1}, 0.40072864968219885
