{'dialog_description': 0, 'answer_description': 0, 'task_description': 2, 'example_description': 1}, 0.4915526515981484
{'dialog_description': 2, 'answer_description': 1, 'task_description': 2, 'example_description': 2}, 0.4828910387138613
{'dialog_description': 1, 'answer_description': 0, 'task_description': 0, 'example_description': 0}, 0.48046825524556225
{'dialog_description': 4, 'answer_description': 0, 'task_description': 1, 'example_description': 1}, 0.47890593493668715
{'dialog_description': 3, 'answer_description': 0, 'task_description': 3, 'example_description': 2}, 0.4785706047502055
{'dialog_description': 4, 'answer_description': 5, 'task_description': 5, 'example_description': 2}, 0.47546011354321516
{'dialog_description': 3, 'answer_description': 5, 'task_description': 5, 'example_description': 4}, 0.47170815883391726
{'dialog_description': 4, 'answer_description': 3, 'task_description': 0, 'example_description': 1}, 0.4590248928821606
{'dialog_description': 2, 'answer_description': 5, 'task_description': 5, 'example_description': 2}, 0.4589090189439218
{'dialog_description': 3, 'answer_description': 3, 'task_description': 0, 'example_description': 2}, 0.45867717836523614
{'dialog_description': 5, 'answer_description': 5, 'task_description': 5, 'example_description': 3}, 0.45663214786792206
{'dialog_description': 5, 'answer_description': 4, 'task_description': 0, 'example_description': 2}, 0.4557199606257131
{'dialog_description': 5, 'answer_description': 6, 'task_description': 5, 'example_description': 2}, 0.45518001155957727
{'dialog_description': 4, 'answer_description': 2, 'task_description': 0, 'example_description': 3}, 0.4531411475468946
{'dialog_description': 2, 'answer_description': 3, 'task_description': 0, 'example_description': 3}, 0.44876566976949206
{'dialog_description': 2, 'answer_description': 6, 'task_description': 0, 'example_description': 1}, 0.4466881784609532
{'dialog_description': 3, 'answer_description': 3, 'task_description': 0, 'example_description': 2}, 0.4455959782615754
{'dialog_description': 5, 'answer_description': 3, 'task_description': 5, 'example_description': 2}, 0.44358653769169576
{'dialog_description': 5, 'answer_description': 3, 'task_description': 5, 'example_description': 2}, 0.4427387613137573
{'dialog_description': 4, 'answer_description': 6, 'task_description': 0, 'example_description': 3}, 0.4407184232813801
{'dialog_description': 2, 'answer_description': 3, 'task_description': 4, 'example_description': 2}, 0.4393907670201218
{'dialog_description': 4, 'answer_description': 6, 'task_description': 0, 'example_description': 4}, 0.4371101065269065
{'dialog_description': 6, 'answer_description': 2, 'task_description': 0, 'example_description': 1}, 0.4254863867552231
{'dialog_description': 6, 'answer_description': 2, 'task_description': 4, 'example_description': 2}, 0.4249209921958499
{'dialog_description': 4, 'answer_description': 3, 'task_description': 0, 'example_description': 3}, 0.4124299706245317
