{'task_description': 4, 'example_description': 0, 'dialog_description': 0, 'answer_description': 5}, 0.49185703304141404
{'task_description': 3, 'example_description': 4, 'dialog_description': 0, 'answer_description': 5}, 0.48071585513416737
{'task_description': 3, 'example_description': 0, 'dialog_description': 0, 'answer_description': 2}, 0.4771215025746044
{'task_description': 0, 'example_description': 0, 'dialog_description': 2, 'answer_description': 2}, 0.4726747838112778
{'task_description': 5, 'example_description': 0, 'dialog_description': 1, 'answer_description': 2}, 0.4715326165705155
{'task_description': 1, 'example_description': 0, 'dialog_description': 1, 'answer_description': 1}, 0.4687933205603233
{'task_description': 0, 'example_description': 1, 'dialog_description': 1, 'answer_description': 2}, 0.4677055346415859
{'task_description': 2, 'example_description': 2, 'dialog_description': 2, 'answer_description': 3}, 0.4656579541694872
{'task_description': 0, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.46519145200700085
{'task_description': 0, 'example_description': 3, 'dialog_description': 1, 'answer_description': 2}, 0.46471817122641146
{'task_description': 0, 'example_description': 0, 'dialog_description': 3, 'answer_description': 2}, 0.4616972805813926
{'task_description': 0, 'example_description': 0, 'dialog_description': 0, 'answer_description': 4}, 0.4557186590435405
{'task_description': 0, 'example_description': 0, 'dialog_description': 0, 'answer_description': 4}, 0.4554893939051955
{'task_description': 3, 'example_description': 0, 'dialog_description': 0, 'answer_description': 4}, 0.45019791573236545
{'task_description': 3, 'example_description': 5, 'dialog_description': 2, 'answer_description': 5}, 0.44891698237969224
{'task_description': 3, 'example_description': 4, 'dialog_description': 3, 'answer_description': 1}, 0.4436858733968141
{'task_description': 5, 'example_description': 5, 'dialog_description': 0, 'answer_description': 2}, 0.44229135175898215
{'task_description': 0, 'example_description': 5, 'dialog_description': 2, 'answer_description': 1}, 0.4341730729084411
{'task_description': 3, 'example_description': 4, 'dialog_description': 0, 'answer_description': 4}, 0.4322144626974994
{'task_description': 5, 'example_description': 0, 'dialog_description': 1, 'answer_description': 2}, 0.42904356462235543
{'task_description': 3, 'example_description': 2, 'dialog_description': 3, 'answer_description': 4}, 0.42376578031208245
{'task_description': 5, 'example_description': 2, 'dialog_description': 3, 'answer_description': 2}, 0.4215863095807264
{'task_description': 4, 'example_description': 0, 'dialog_description': 0, 'answer_description': 6}, 0.35949427419450763
{'task_description': 3, 'example_description': 0, 'dialog_description': 0, 'answer_description': 6}, 0.3559322442392129
{'task_description': 3, 'example_description': 5, 'dialog_description': 0, 'answer_description': 6}, 0.3334736736285483
