{'dialog_description': 1, 'answer_description': 0, 'task_description': 1, 'example_description': 0}, 0.5060772636558373
{'dialog_description': 0, 'answer_description': 0, 'task_description': 0, 'example_description': 0}, 0.49427446917529627
{'task_description': 1, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.49185703304141404
{'dialog_description': 2, 'answer_description': 0, 'task_description': 4, 'example_description': 4}, 0.48585929126146854
{'dialog_description': 2, 'answer_description': 0, 'task_description': 4, 'example_description': 3}, 0.48271495192659175
{'dialog_description': 2, 'answer_description': 0, 'task_description': 2, 'example_description': 1}, 0.48245836465678515
{'dialog_description': 0, 'answer_description': 1, 'task_description': 0, 'example_description': 0}, 0.48114245610328005
{'dialog_description': 2, 'answer_description': 0, 'task_description': 1, 'example_description': 2}, 0.47950305134274956
{'dialog_description': 2, 'answer_description': 0, 'task_description': 1, 'example_description': 0}, 0.4768291411584873
{'dialog_description': 2, 'answer_description': 0, 'task_description': 3, 'example_description': 0}, 0.4742308400595924
{'dialog_description': 4, 'answer_description': 0, 'task_description': 1, 'example_description': 3}, 0.4710983366752409
{'dialog_description': 4, 'answer_description': 0, 'task_description': 1, 'example_description': 0}, 0.4675802442451463
{'dialog_description': 3, 'answer_description': 0, 'task_description': 1, 'example_description': 2}, 0.4654456129772774
{'dialog_description': 0, 'answer_description': 2, 'task_description': 4, 'example_description': 4}, 0.46540455438843564
{'dialog_description': 2, 'answer_description': 0, 'task_description': 4, 'example_description': 2}, 0.4633700075544672
{'dialog_description': 4, 'answer_description': 3, 'task_description': 4, 'example_description': 4}, 0.46317511275827183
{'dialog_description': 2, 'answer_description': 2, 'task_description': 1, 'example_description': 4}, 0.4605169367023356
{'dialog_description': 3, 'answer_description': 3, 'task_description': 4, 'example_description': 2}, 0.4521827599675984
{'dialog_description': 4, 'answer_description': 3, 'task_description': 3, 'example_description': 2}, 0.45191281999177924
{'dialog_description': 4, 'answer_description': 0, 'task_description': 5, 'example_description': 4}, 0.45184444980453264
{'dialog_description': 2, 'answer_description': 3, 'task_description': 5, 'example_description': 0}, 0.44536979429430434
{'dialog_description': 2, 'answer_description': 4, 'task_description': 5, 'example_description': 4}, 0.4387793120820007
{'dialog_description': 0, 'answer_description': 4, 'task_description': 4, 'example_description': 0}, 0.4387487191986207
{'dialog_description': 2, 'answer_description': 4, 'task_description': 3, 'example_description': 0}, 0.4252183916093221
{'dialog_description': 4, 'answer_description': 4, 'task_description': 3, 'example_description': 4}, 0.42517692924640005
