{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.7349933748343709
{'task_description': 2, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 2}, 0.7241656009428521
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7198879551820728
{'task_description': 2, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 3}, 0.719551282051282
{'task_description': 3, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 2}, 0.7146504467973267
{'task_description': 4, 'ctr_description': 7, 'statement_description': 6, 'answer_description': 5}, 0.6736026111791106
{'task_description': 6, 'ctr_description': 7, 'statement_description': 4, 'answer_description': 8}, 0.6496847162446202
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'answer_description': 4}, 0.6482765551200884
{'task_description': 4, 'ctr_description': 8, 'statement_description': 7, 'answer_description': 7}, 0.6366030283080975
{'task_description': 4, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 8}, 0.6355906468266019
{'task_description': 5, 'ctr_description': 8, 'statement_description': 5, 'answer_description': 4}, 0.634771732332708
{'task_description': 6, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 5}, 0.6279454319966928
{'task_description': 5, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 5}, 0.6234089026135422
{'task_description': 8, 'ctr_description': 7, 'statement_description': 6, 'answer_description': 7}, 0.6216897856242118
{'task_description': 6, 'ctr_description': 4, 'statement_description': 7, 'answer_description': 5}, 0.6155365371955234
{'task_description': 7, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 7}, 0.6101769796512384
{'task_description': 8, 'ctr_description': 5, 'statement_description': 6, 'answer_description': 7}, 0.6073853989813243
{'task_description': 7, 'ctr_description': 5, 'statement_description': 7, 'answer_description': 7}, 0.6027318984517428
{'task_description': 5, 'ctr_description': 8, 'statement_description': 3, 'answer_description': 8}, 0.5976674900053474
{'task_description': 8, 'ctr_description': 6, 'statement_description': 3, 'answer_description': 5}, 0.5849066039858968
{'task_description': 8, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 6}, 0.5561378646487873
{'task_description': 7, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 6}, 0.5511165974638088
{'task_description': 8, 'ctr_description': 8, 'statement_description': 4, 'answer_description': 6}, 0.5477159656264134
{'task_description': 5, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 6}, 0.5344888961910239
{'task_description': 4, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 6}, 0.5209447415329769
