{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.7098839535814325
{'task_description': 0, 'ctr_description': 2, 'statement_description': 1, 'answer_description': 1}, 0.7085720028137876
{'task_description': 2, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 0}, 0.7049926248156204
{'task_description': 3, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 2}, 0.7048155096935584
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 1}, 0.7044014128610436
{'task_description': 7, 'ctr_description': 4, 'statement_description': 4, 'answer_description': 4}, 0.6465073388150311
{'task_description': 4, 'ctr_description': 7, 'statement_description': 8, 'answer_description': 4}, 0.6449201070240804
{'task_description': 5, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 4}, 0.6439833180754755
{'task_description': 5, 'ctr_description': 4, 'statement_description': 8, 'answer_description': 4}, 0.634771732332708
{'task_description': 8, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 4}, 0.6236395076797885
{'task_description': 8, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 7}, 0.614990374759369
{'task_description': 5, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 5}, 0.6149133555049886
{'task_description': 4, 'ctr_description': 8, 'statement_description': 6, 'answer_description': 4}, 0.6133664733499034
{'task_description': 5, 'ctr_description': 4, 'statement_description': 7, 'answer_description': 6}, 0.6057682332192136
{'task_description': 7, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 6}, 0.6049111049986247
{'task_description': 6, 'ctr_description': 5, 'statement_description': 8, 'answer_description': 5}, 0.6010230179028133
{'task_description': 8, 'ctr_description': 7, 'statement_description': 7, 'answer_description': 5}, 0.5997061133490411
{'task_description': 5, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 7}, 0.595959595959596
{'task_description': 7, 'ctr_description': 7, 'statement_description': 7, 'answer_description': 4}, 0.5920032639738881
{'task_description': 6, 'ctr_description': 5, 'statement_description': 7, 'answer_description': 4}, 0.5789473684210527
{'task_description': 5, 'ctr_description': 7, 'statement_description': 7, 'answer_description': 6}, 0.5614035087719298
{'task_description': 4, 'ctr_description': 7, 'statement_description': 5, 'answer_description': 5}, 0.557203171661003
{'task_description': 4, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 7}, 0.5434253246753247
{'task_description': 4, 'ctr_description': 8, 'statement_description': 6, 'answer_description': 3}, 0.5325392132015432
{'task_description': 5, 'ctr_description': 7, 'statement_description': 7, 'answer_description': 3}, 0.5195982094115078
