[[79 21]
 [32 68]]
[[78 22]
 [32 68]]
[[81 19]
 [37 63]]
[[76 24]
 [33 67]]
[[78 22]
 [35 65]]
[[63 37]
 [30 70]]
[[71 29]
 [38 62]]
[[71 29]
 [38 62]]
[[73 27]
 [42 58]]
[[56 44]
 [28 72]]
[[60 40]
 [33 67]]
[[56 44]
 [29 71]]
[[60 40]
 [34 66]]
[[67 33]
 [43 57]]
[[64 36]
 [42 58]]
[[64 36]
 [42 58]]
[[64 36]
 [42 58]]
[[100   0]
 [100   0]]
[[100   0]
 [100   0]]
[[100   0]
 [100   0]]
[[100   0]
 [100   0]]
[[100   0]
 [100   0]]
[[100   0]
 [100   0]]
[[100   0]
 [100   0]]
[[100   0]
 [100   0]]
