{'task_description': 3, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 1}, 0.73
{'task_description': 5, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 3}, 0.7241656009428521
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 3}, 0.7186212440960708
{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.7177134791813691
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 2}, 0.716570503087357
{'task_description': 0, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 1}, 0.7148217636022514
{'task_description': 0, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 3}, 0.7041049173750595
{'task_description': 0, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 3}, 0.6992481203007519
{'task_description': 4, 'ctr_description': 6, 'statement_description': 0, 'answer_description': 4}, 0.6963255390221682
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 1}, 0.6948092557848655
{'task_description': 4, 'ctr_description': 6, 'statement_description': 0, 'answer_description': 5}, 0.6940745755911633
{'task_description': 0, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 2}, 0.689875950380152
{'task_description': 0, 'ctr_description': 2, 'statement_description': 6, 'answer_description': 2}, 0.6868686868686869
{'task_description': 4, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 5}, 0.6843608306821314
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 5}, 0.6843608306821314
{'task_description': 5, 'ctr_description': 2, 'statement_description': 6, 'answer_description': 2}, 0.677938808373591
{'task_description': 5, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 4}, 0.677386833350136
{'task_description': 2, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 1}, 0.6747967479674797
{'task_description': 6, 'ctr_description': 6, 'statement_description': 6, 'answer_description': 4}, 0.6731615336266499
{'task_description': 2, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 1}, 0.6544165054803353
{'task_description': 5, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 1}, 0.6498815775924209
{'task_description': 4, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 2}, 0.6449911247781195
{'task_description': 2, 'ctr_description': 5, 'statement_description': 0, 'answer_description': 4}, 0.64024220313648
{'task_description': 6, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 2}, 0.6349178565177165
{'task_description': 0, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 1}, 0.6093337556752191
