[[121  79]
 [ 39 161]]
[[ 87 113]
 [ 25 175]]
[[ 84 116]
 [ 21 179]]
[[ 82 118]
 [ 19 181]]
[[ 85 115]
 [ 27 173]]
[[ 77 123]
 [ 18 182]]
[[ 72 128]
 [ 12 188]]
[[ 78 122]
 [ 23 177]]
[[ 72 128]
 [ 15 185]]
[[ 71 129]
 [ 16 184]]
[[ 74 126]
 [ 21 179]]
[[ 70 130]
 [ 19 181]]
[[ 63 137]
 [ 10 190]]
[[ 62 138]
 [ 12 188]]
[[ 64 136]
 [ 16 184]]
[[ 66 134]
 [ 22 178]]
[[ 59 141]
 [ 11 189]]
[[ 58 142]
 [ 15 185]]
[[ 57 143]
 [ 17 183]]
[[ 47 153]
 [  6 194]]
[[ 46 154]
 [  7 193]]
[[ 37 163]
 [  6 194]]
[[ 20 180]
 [  2 198]]
[[ 18 182]
 [  1 199]]
[[ 18 182]
 [  1 199]]
