{'task_description': 1, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 2}, 0.6983779436078467
{'task_description': 3, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 2}, 0.6960960024935713
{'task_description': 3, 'ctr_description': 7, 'statement_description': 2, 'answer_description': 2}, 0.6960046323103648
{'task_description': 3, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 2}, 0.6942858177019092
{'task_description': 0, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 0}, 0.6931151040740082
{'task_description': 0, 'ctr_description': 5, 'statement_description': 2, 'answer_description': 2}, 0.6931151040740082
{'task_description': 5, 'ctr_description': 6, 'statement_description': 2, 'answer_description': 2}, 0.693057084709572
{'task_description': 4, 'ctr_description': 7, 'statement_description': 2, 'answer_description': 2}, 0.6928418803418803
{'task_description': 5, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 2}, 0.69245854876092
{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 2}, 0.6916246933610408
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 1}, 0.6848940894022713
{'task_description': 3, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 0}, 0.6839071554742941
{'task_description': 3, 'ctr_description': 7, 'statement_description': 1, 'answer_description': 0}, 0.6819502515767841
{'task_description': 4, 'ctr_description': 7, 'statement_description': 2, 'answer_description': 0}, 0.669884629782986
{'task_description': 3, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 3}, 0.6677177635371105
{'task_description': 3, 'ctr_description': 5, 'statement_description': 2, 'answer_description': 0}, 0.6654681170634018
{'task_description': 3, 'ctr_description': 5, 'statement_description': 2, 'answer_description': 0}, 0.6654681170634018
{'task_description': 3, 'ctr_description': 6, 'statement_description': 1, 'answer_description': 0}, 0.663223876344469
{'task_description': 0, 'ctr_description': 1, 'statement_description': 2, 'answer_description': 0}, 0.6598048294038037
{'task_description': 0, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 2}, 0.6591478696741855
{'task_description': 5, 'ctr_description': 1, 'statement_description': 4, 'answer_description': 3}, 0.6586611168127983
{'task_description': 5, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.6586409357789814
{'task_description': 3, 'ctr_description': 1, 'statement_description': 3, 'answer_description': 2}, 0.6571667479618145
{'task_description': 3, 'ctr_description': 1, 'statement_description': 2, 'answer_description': 0}, 0.6571126382140289
{'task_description': 3, 'ctr_description': 6, 'statement_description': 4, 'answer_description': 2}, 0.6541552232733191
