[[330 170]
 [136 364]]
[[322 178]
 [134 366]]
[[300 200]
 [113 387]]
[[311 189]
 [126 374]]
[[285 215]
 [100 400]]
[[285 215]
 [100 400]]
[[309 191]
 [128 372]]
[[309 191]
 [128 372]]
[[312 188]
 [135 365]]
[[300 200]
 [122 378]]
[[300 200]
 [122 378]]
[[329 171]
 [155 345]]
[[329 171]
 [155 345]]
[[329 171]
 [155 345]]
[[290 210]
 [116 384]]
[[292 208]
 [120 380]]
[[268 232]
 [ 93 407]]
[[272 228]
 [107 393]]
[[278 222]
 [117 383]]
[[257 243]
 [ 97 403]]
[[262 238]
 [105 395]]
[[257 243]
 [101 399]]
[[234 266]
 [ 79 421]]
[[225 275]
 [ 83 417]]
[[175 325]
 [ 47 453]]
