[[181 119]
 [ 94 206]]
[[119 181]
 [ 37 263]]
[[119 181]
 [ 37 263]]
[[152 148]
 [ 85 215]]
[[ 97 203]
 [ 34 266]]
[[108 192]
 [ 61 239]]
[[ 97 203]
 [ 45 255]]
[[ 97 203]
 [ 54 246]]
[[ 97 203]
 [ 54 246]]
[[ 70 230]
 [ 20 280]]
[[ 70 230]
 [ 20 280]]
[[ 41 259]
 [ 14 286]]
[[ 39 261]
 [ 12 288]]
[[ 39 261]
 [ 12 288]]
[[ 38 262]
 [ 11 289]]
[[ 38 262]
 [ 11 289]]
[[ 35 265]
 [ 12 288]]
[[ 29 271]
 [  8 292]]
[[ 29 271]
 [  8 292]]
[[ 28 272]
 [  6 294]]
[[ 25 275]
 [ 11 289]]
[[ 25 275]
 [ 11 289]]
[[ 19 281]
 [  4 296]]
[[ 17 283]
 [  9 291]]
[[  8 292]
 [  5 295]]
