{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7740453415681253
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 0}, 0.7642869680784372
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 0}, 0.7642869680784372
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7511111111111111
{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7497382466355116
{'task_description': 1, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 3}, 0.749599358974359
{'task_description': 5, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 3}, 0.748389694041868
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 3}, 0.7442262845106447
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 3}, 0.7442262845106447
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 0}, 0.7402663543072496
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 3}, 0.7349403615813558
{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 0}, 0.7338756245135698
{'task_description': 4, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 3}, 0.7338756245135698
{'task_description': 6, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 2}, 0.7325865940109488
{'task_description': 6, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 2}, 0.7325865940109488
{'task_description': 6, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 3}, 0.73
{'task_description': 5, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 3}, 0.7219343259435274
{'task_description': 6, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 1}, 0.7219343259435274
{'task_description': 5, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 2}, 0.7059961315280464
{'task_description': 4, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 1}, 0.685364281108962
{'task_description': 4, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 2}, 0.6797117405665098
{'task_description': 4, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 2}, 0.6756982948007113
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 3}, 0.6443142588136834
{'task_description': 6, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 0}, 0.6329689619404771
{'task_description': 6, 'ctr_description': 2, 'statement_description': 1, 'answer_description': 0}, 0.5880959736381424
