[[125  25]
 [ 44 106]]
[[128  22]
 [ 52  98]]
[[114  36]
 [ 39 111]]
[[116  34]
 [ 42 108]]
[[120  30]
 [ 46 104]]
[[133  17]
 [ 58  92]]
[[128  22]
 [ 54  96]]
[[134  16]
 [ 61  89]]
[[121  29]
 [ 50 100]]
[[124  26]
 [ 55  95]]
[[123  27]
 [ 57  93]]
[[133  17]
 [ 66  84]]
[[134  16]
 [ 67  83]]
[[122  28]
 [ 59  91]]
[[119  31]
 [ 57  93]]
[[130  20]
 [ 67  83]]
[[129  21]
 [ 67  83]]
[[129  21]
 [ 67  83]]
[[129  21]
 [ 69  81]]
[[131  19]
 [ 73  77]]
[[139  11]
 [ 87  63]]
[[144   6]
 [109  41]]
[[145   5]
 [112  38]]
[[144   6]
 [112  38]]
[[145   5]
 [118  32]]
