{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 3}, 0.7690737290688205
{'task_description': 0, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 0}, 0.7508417508417509
{'task_description': 3, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 0}, 0.74997499749975
{'task_description': 2, 'ctr_description': 2, 'statement_description': 1, 'answer_description': 0}, 0.7464863903220067
{'task_description': 3, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 3}, 0.7459440185416295
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.7452416807255517
{'task_description': 1, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 3}, 0.7437511238985794
{'task_description': 1, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 0}, 0.7374254049445865
{'task_description': 0, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 3}, 0.7353699795665427
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 3}, 0.7274532015836876
{'task_description': 0, 'ctr_description': 4, 'statement_description': 1, 'answer_description': 1}, 0.7171717171717171
{'task_description': 3, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 1}, 0.7157501797965731
{'task_description': 3, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 1}, 0.7150997150997151
{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 1}, 0.7068700232482394
{'task_description': 2, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 1}, 0.7044467332407863
{'task_description': 3, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 1}, 0.702703010559169
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 1}, 0.6996040234855037
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 1}, 0.6996040234855037
{'task_description': 3, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.6921182266009853
{'task_description': 3, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 1}, 0.683064627256442
{'task_description': 0, 'ctr_description': 1, 'statement_description': 2, 'answer_description': 1}, 0.6509308510638299
{'task_description': 3, 'ctr_description': 2, 'statement_description': 1, 'answer_description': 2}, 0.5654419266667506
{'task_description': 3, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 2}, 0.5531565479752009
{'task_description': 2, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 2}, 0.5505560916154588
{'task_description': 0, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 2}, 0.5222125830301304
