{'task_description': 1, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 1}, 0.7233302592251025
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.7199446637648885
{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 1}, 0.7128739316239316
{'task_description': 2, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 1}, 0.7125155999286861
{'task_description': 3, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 0}, 0.7064480210547626
{'task_description': 4, 'ctr_description': 2, 'statement_description': 5, 'answer_description': 1}, 0.7064312047699239
{'task_description': 4, 'ctr_description': 5, 'statement_description': 0, 'answer_description': 1}, 0.7061965811965811
{'task_description': 5, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 1}, 0.7032907750404604
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 1}, 0.7031717268290514
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 1}, 0.7031717268290514
{'task_description': 0, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 1}, 0.6980676328502415
{'task_description': 6, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 1}, 0.6933927829378137
{'task_description': 4, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 0}, 0.6933927829378137
{'task_description': 0, 'ctr_description': 2, 'statement_description': 4, 'answer_description': 1}, 0.6899138649624896
{'task_description': 0, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 1}, 0.689803992087754
{'task_description': 4, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 1}, 0.6833016634996834
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 2}, 0.6799431009957326
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 2}, 0.6799431009957326
{'task_description': 5, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 0}, 0.6736026111791106
{'task_description': 0, 'ctr_description': 2, 'statement_description': 5, 'answer_description': 1}, 0.6700879765395895
{'task_description': 4, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 1}, 0.6692848284415047
{'task_description': 6, 'ctr_description': 2, 'statement_description': 5, 'answer_description': 1}, 0.6692848284415047
{'task_description': 0, 'ctr_description': 0, 'statement_description': 5, 'answer_description': 2}, 0.6657158138705652
{'task_description': 0, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 2}, 0.6570121951219512
{'task_description': 5, 'ctr_description': 0, 'statement_description': 5, 'answer_description': 2}, 0.6322164861490704
