{'Contradiction': 0.7197452229299363, 'Entailment': 0.6923076923076923}
{'Contradiction': 0.7169811320754716, 'Entailment': 0.6808510638297872}
{'Contradiction': 0.6915254237288135, 'Entailment': 0.7016393442622951}
{'Contradiction': 0.6737588652482269, 'Entailment': 0.710691823899371}
{'Contradiction': 0.7084639498432602, 'Entailment': 0.6690391459074733}
{'Contradiction': 0.6945337620578779, 'Entailment': 0.671280276816609}
{'Contradiction': 0.6778523489932886, 'Entailment': 0.6821192052980133}
{'Contradiction': 0.6942675159235668, 'Entailment': 0.6643356643356644}
{'Contradiction': 0.6571428571428571, 'Entailment': 0.7}
{'Contradiction': 0.7125748502994012, 'Entailment': 0.6390977443609023}
{'Contradiction': 0.7104477611940299, 'Entailment': 0.6339622641509434}
{'Contradiction': 0.657439446366782, 'Entailment': 0.6816720257234726}
{'Contradiction': 0.6896551724137931, 'Entailment': 0.6476868327402135}
{'Contradiction': 0.7167630057803468, 'Entailment': 0.6141732283464567}
{'Contradiction': 0.7167630057803468, 'Entailment': 0.6141732283464567}
{'Contradiction': 0.7167630057803468, 'Entailment': 0.6141732283464567}
{'Contradiction': 0.6894409937888198, 'Entailment': 0.6402877697841727}
{'Contradiction': 0.6177606177606177, 'Entailment': 0.7096774193548387}
{'Contradiction': 0.717948717948718, 'Entailment': 0.6024096385542169}
{'Contradiction': 0.717948717948718, 'Entailment': 0.6024096385542169}
{'Contradiction': 0.7142857142857143, 'Entailment': 0.6}
{'Contradiction': 0.7055393586005831, 'Entailment': 0.6070038910505836}
{'Contradiction': 0.6869300911854104, 'Entailment': 0.6199261992619927}
{'Contradiction': 0.6578947368421053, 'Entailment': 0.6486486486486487}
{'Contradiction': 0.582995951417004, 'Entailment': 0.7082152974504249}
