{'Contradiction': 0.7545219638242894, 'Entailment': 0.5539906103286385}
{'Contradiction': 0.7345844504021448, 'Entailment': 0.5638766519823789}
{'Contradiction': 0.7272727272727273, 'Entailment': 0.5486725663716814}
{'Contradiction': 0.7272727272727273, 'Entailment': 0.5486725663716814}
{'Contradiction': 0.7349081364829396, 'Entailment': 0.5388127853881278}
{'Contradiction': 0.726790450928382, 'Entailment': 0.5381165919282511}
{'Contradiction': 0.7282321899736148, 'Entailment': 0.5339366515837104}
{'Contradiction': 0.7371134020618557, 'Entailment': 0.5188679245283019}
{'Contradiction': 0.7277486910994765, 'Entailment': 0.5229357798165137}
{'Contradiction': 0.7291666666666666, 'Entailment': 0.5185185185185185}
{'Contradiction': 0.727735368956743, 'Entailment': 0.4830917874396135}
{'Contradiction': 0.6937669376693767, 'Entailment': 0.5108225108225108}
{'Contradiction': 0.7028423772609819, 'Entailment': 0.460093896713615}
{'Contradiction': 0.7073791348600509, 'Entailment': 0.4444444444444444}
{'Contradiction': 0.7073791348600509, 'Entailment': 0.4444444444444444}
{'Contradiction': 0.7073791348600509, 'Entailment': 0.4444444444444444}
{'Contradiction': 0.7160493827160493, 'Entailment': 0.41025641025641024}
{'Contradiction': 0.7142857142857143, 'Entailment': 0.4020618556701031}
{'Contradiction': 0.6771653543307087, 'Entailment': 0.4383561643835616}
{'Contradiction': 0.7139364303178484, 'Entailment': 0.387434554973822}
{'Contradiction': 0.7076167076167076, 'Entailment': 0.38341968911917096}
{'Contradiction': 0.7024390243902439, 'Entailment': 0.35789473684210527}
{'Contradiction': 0.711217183770883, 'Entailment': 0.3314917127071823}
{'Contradiction': 0.6973365617433414, 'Entailment': 0.3315508021390374}
{'Contradiction': 0.6941747572815534, 'Entailment': 0.32978723404255317}
