[[146   4]
 [ 91  59]]
[[137  13]
 [ 86  64]]
[[138  12]
 [ 91  59]]
[[144   6]
 [ 96  54]]
[[142   8]
 [ 95  55]]
[[145   5]
 [ 98  52]]
[[132  18]
 [ 90  60]]
[[130  20]
 [ 89  61]]
[[145   5]
 [ 99  51]]
[[145   5]
 [ 99  51]]
[[141   9]
 [ 97  53]]
[[134  16]
 [ 93  57]]
[[145   5]
 [100  50]]
[[139  11]
 [ 97  53]]
[[144   6]
 [101  49]]
[[139  11]
 [103  47]]
[[133  17]
 [100  50]]
[[141   9]
 [105  45]]
[[148   2]
 [109  41]]
[[144   6]
 [108  42]]
[[144   6]
 [110  40]]
[[135  15]
 [105  45]]
[[137  13]
 [113  37]]
[[145   5]
 [135  15]]
[[148   2]
 [137  13]]
