{'Contradiction': 0.7117794486215538, 'Entailment': 0.42786069651741293}
{'Contradiction': 0.7215496368038741, 'Entailment': 0.3850267379679144}
{'Contradiction': 0.684931506849315, 'Entailment': 0.14814814814814814}
{'Contradiction': 0.6958637469586375, 'Entailment': 0.3386243386243386}
{'Contradiction': 0.6915887850467289, 'Entailment': 0.23255813953488372}
{'Contradiction': 0.6978922716627635, 'Entailment': 0.2543352601156069}
{'Contradiction': 0.6883720930232559, 'Entailment': 0.21176470588235294}
{'Contradiction': 0.7044334975369458, 'Entailment': 0.38144329896907214}
{'Contradiction': 0.7095115681233933, 'Entailment': 0.46445497630331756}
{'Contradiction': 0.6915887850467289, 'Entailment': 0.23255813953488372}
{'Contradiction': 0.6985645933014354, 'Entailment': 0.3076923076923077}
{'Contradiction': 0.6899766899766899, 'Entailment': 0.2222222222222222}
{'Contradiction': 0.7019230769230769, 'Entailment': 0.32608695652173914}
{'Contradiction': 0.6976744186046512, 'Entailment': 0.23529411764705882}
{'Contradiction': 0.7067307692307693, 'Entailment': 0.33695652173913043}
{'Contradiction': 0.7038834951456311, 'Entailment': 0.35106382978723405}
{'Contradiction': 0.7076167076167076, 'Entailment': 0.38341968911917096}
{'Contradiction': 0.709832134292566, 'Entailment': 0.33879781420765026}
{'Contradiction': 0.6933962264150944, 'Entailment': 0.26136363636363635}
{'Contradiction': 0.709832134292566, 'Entailment': 0.33879781420765026}
{'Contradiction': 0.6987951807228916, 'Entailment': 0.32432432432432434}
{'Contradiction': 0.6869158878504673, 'Entailment': 0.22093023255813954}
{'Contradiction': 0.6930232558139535, 'Entailment': 0.2235294117647059}
{'Contradiction': 0.6853146853146853, 'Entailment': 0.21052631578947367}
{'Contradiction': 0.7064439140811456, 'Entailment': 0.32044198895027626}
