{'task_description': 0, 'ctr_description': 3, 'statement_description': 1, 'self_A': 2, 'self_B': 2, 'self_C': 1, 'answer_description': 0}, 0.7798018216394755
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'self_A': 0, 'self_B': 3, 'self_C': 2, 'answer_description': 2}, 0.7642869680784372
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'self_A': 1, 'self_B': 0, 'self_C': 1, 'answer_description': 1}, 0.7546995068959474
{'task_description': 2, 'ctr_description': 2, 'statement_description': 2, 'self_A': 2, 'self_B': 1, 'self_C': 0, 'answer_description': 2}, 0.7487689679429204
{'task_description': 4, 'ctr_description': 4, 'statement_description': 3, 'self_A': 3, 'self_B': 4, 'self_C': 3, 'answer_description': 3}, 0.748389694041868
{'task_description': 9, 'ctr_description': 6, 'statement_description': 8, 'self_A': 4, 'self_B': 7, 'self_C': 4, 'answer_description': 5}, 0.7081320450885669
{'task_description': 6, 'ctr_description': 8, 'statement_description': 4, 'self_A': 7, 'self_B': 8, 'self_C': 5, 'answer_description': 4}, 0.6975501562657526
{'task_description': 8, 'ctr_description': 7, 'statement_description': 7, 'self_A': 7, 'self_B': 7, 'self_C': 4, 'answer_description': 6}, 0.6932746700188561
{'task_description': 6, 'ctr_description': 7, 'statement_description': 8, 'self_A': 6, 'self_B': 5, 'self_C': 4, 'answer_description': 4}, 0.680218080784252
{'task_description': 7, 'ctr_description': 8, 'statement_description': 4, 'self_A': 6, 'self_B': 8, 'self_C': 6, 'answer_description': 4}, 0.67996799679968
{'task_description': 5, 'ctr_description': 8, 'statement_description': 7, 'self_A': 6, 'self_B': 9, 'self_C': 8, 'answer_description': 8}, 0.672040162466258
{'task_description': 7, 'ctr_description': 5, 'statement_description': 7, 'self_A': 5, 'self_B': 6, 'self_C': 6, 'answer_description': 6}, 0.6643271284711627
{'task_description': 9, 'ctr_description': 7, 'statement_description': 8, 'self_A': 8, 'self_B': 6, 'self_C': 4, 'answer_description': 8}, 0.6621533823644066
{'task_description': 7, 'ctr_description': 6, 'statement_description': 7, 'self_A': 5, 'self_B': 9, 'self_C': 8, 'answer_description': 5}, 0.6601791782514674
{'task_description': 5, 'ctr_description': 8, 'statement_description': 5, 'self_A': 4, 'self_B': 8, 'self_C': 7, 'answer_description': 5}, 0.6572235104345197
{'task_description': 9, 'ctr_description': 9, 'statement_description': 5, 'self_A': 5, 'self_B': 6, 'self_C': 6, 'answer_description': 8}, 0.6541552232733191
{'task_description': 9, 'ctr_description': 7, 'statement_description': 8, 'self_A': 6, 'self_B': 6, 'self_C': 6, 'answer_description': 7}, 0.6532156368221942
{'task_description': 7, 'ctr_description': 6, 'statement_description': 8, 'self_A': 4, 'self_B': 8, 'self_C': 8, 'answer_description': 6}, 0.6510673234811166
{'task_description': 9, 'ctr_description': 6, 'statement_description': 4, 'self_A': 6, 'self_B': 9, 'self_C': 4, 'answer_description': 6}, 0.6465073388150311
{'task_description': 7, 'ctr_description': 5, 'statement_description': 6, 'self_A': 5, 'self_B': 6, 'self_C': 7, 'answer_description': 4}, 0.6430028559771522
{'task_description': 5, 'ctr_description': 8, 'statement_description': 5, 'self_A': 8, 'self_B': 7, 'self_C': 4, 'answer_description': 7}, 0.64024220313648
{'task_description': 8, 'ctr_description': 5, 'statement_description': 7, 'self_A': 4, 'self_B': 7, 'self_C': 6, 'answer_description': 5}, 0.6301081806896203
{'task_description': 8, 'ctr_description': 9, 'statement_description': 5, 'self_A': 4, 'self_B': 7, 'self_C': 7, 'answer_description': 8}, 0.6155365371955234
{'task_description': 8, 'ctr_description': 5, 'statement_description': 6, 'self_A': 8, 'self_B': 7, 'self_C': 5, 'answer_description': 4}, 0.6136646291445054
{'task_description': 5, 'ctr_description': 5, 'statement_description': 6, 'self_A': 8, 'self_B': 5, 'self_C': 4, 'answer_description': 6}, 0.5563953010761521
