{'self_A': 1, 'statement_description': 0, 'self_C': 3, 'answer_description': 0, 'task_description': 3, 'ctr_description': 0, 'self_B': 0}, 0.7948717948717949
{'self_A': 0, 'statement_description': 0, 'self_C': 2, 'answer_description': 1, 'task_description': 0, 'ctr_description': 0, 'self_B': 2}, 0.784865540963102
{'self_A': 0, 'statement_description': 0, 'self_C': 0, 'answer_description': 0, 'task_description': 0, 'ctr_description': 0, 'self_B': 0}, 0.7799119647859143
{'self_A': 0, 'statement_description': 0, 'self_C': 0, 'answer_description': 0, 'task_description': 2, 'ctr_description': 1, 'self_B': 2}, 0.7748592870544091
{'self_A': 0, 'statement_description': 1, 'self_C': 1, 'answer_description': 2, 'task_description': 1, 'ctr_description': 1, 'self_B': 1}, 0.7747240369452579
{'self_A': 0, 'statement_description': 3, 'self_C': 5, 'answer_description': 3, 'task_description': 5, 'ctr_description': 1, 'self_B': 1}, 0.77
{'self_A': 1, 'statement_description': 0, 'self_C': 7, 'answer_description': 4, 'task_description': 4, 'ctr_description': 2, 'self_B': 4}, 0.7636706473915776
{'self_A': 0, 'statement_description': 3, 'self_C': 6, 'answer_description': 3, 'task_description': 6, 'ctr_description': 0, 'self_B': 0}, 0.7536140791954746
{'self_A': 1, 'statement_description': 0, 'self_C': 5, 'answer_description': 3, 'task_description': 1, 'ctr_description': 0, 'self_B': 0}, 0.7398959583833533
{'self_A': 1, 'statement_description': 0, 'self_C': 7, 'answer_description': 0, 'task_description': 2, 'ctr_description': 0, 'self_B': 3}, 0.7383252818035426
{'self_A': 0, 'statement_description': 0, 'self_C': 5, 'answer_description': 4, 'task_description': 5, 'ctr_description': 1, 'self_B': 1}, 0.7349403615813558
{'self_A': 0, 'statement_description': 2, 'self_C': 5, 'answer_description': 0, 'task_description': 6, 'ctr_description': 0, 'self_B': 4}, 0.7344622861294121
{'self_A': 1, 'statement_description': 0, 'self_C': 4, 'answer_description': 4, 'task_description': 1, 'ctr_description': 2, 'self_B': 4}, 0.7277951406391774
{'self_A': 0, 'statement_description': 0, 'self_C': 7, 'answer_description': 3, 'task_description': 6, 'ctr_description': 0, 'self_B': 0}, 0.7277951406391774
{'self_A': 0, 'statement_description': 2, 'self_C': 6, 'answer_description': 0, 'task_description': 4, 'ctr_description': 0, 'self_B': 0}, 0.7144217039504998
{'self_A': 0, 'statement_description': 0, 'self_C': 0, 'answer_description': 0, 'task_description': 2, 'ctr_description': 0, 'self_B': 0}, 0.7141352591589558
{'self_A': 1, 'statement_description': 3, 'self_C': 0, 'answer_description': 3, 'task_description': 2, 'ctr_description': 1, 'self_B': 0}, 0.7118228468869283
{'self_A': 1, 'statement_description': 0, 'self_C': 0, 'answer_description': 2, 'task_description': 5, 'ctr_description': 1, 'self_B': 3}, 0.7044014128610436
{'self_A': 1, 'statement_description': 0, 'self_C': 0, 'answer_description': 0, 'task_description': 5, 'ctr_description': 0, 'self_B': 0}, 0.6998799519807923
{'self_A': 1, 'statement_description': 2, 'self_C': 5, 'answer_description': 0, 'task_description': 2, 'ctr_description': 0, 'self_B': 0}, 0.6998799519807923
{'self_A': 1, 'statement_description': 0, 'self_C': 4, 'answer_description': 0, 'task_description': 1, 'ctr_description': 1, 'self_B': 3}, 0.6985227615315044
{'self_A': 0, 'statement_description': 4, 'self_C': 5, 'answer_description': 0, 'task_description': 1, 'ctr_description': 1, 'self_B': 0}, 0.6979166666666666
{'self_A': 2, 'statement_description': 2, 'self_C': 6, 'answer_description': 4, 'task_description': 6, 'ctr_description': 1, 'self_B': 4}, 0.6849291090495362
{'self_A': 0, 'statement_description': 4, 'self_C': 4, 'answer_description': 3, 'task_description': 6, 'ctr_description': 2, 'self_B': 0}, 0.680218080784252
{'self_A': 2, 'statement_description': 4, 'self_C': 0, 'answer_description': 2, 'task_description': 6, 'ctr_description': 1, 'self_B': 0}, 0.6289424860853432
