{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 0}, 0.8058035714285714
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 1, 'self_C': 0, 'answer_description': 2}, 0.805203528726882
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 1}, 0.8023649214484306
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 2, 'self_C': 0, 'answer_description': 0}, 0.7954644521688592
{'task_description': 0, 'ctr_description': 0, 'statement_description': 1, 'self_A': 0, 'self_B': 1, 'self_C': 0, 'answer_description': 0}, 0.7896049248032417
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'self_A': 0, 'self_B': 4, 'self_C': 0, 'answer_description': 5}, 0.7827903091060986
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 1, 'self_C': 0, 'answer_description': 3}, 0.775767244168275
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 1, 'self_C': 0, 'answer_description': 5}, 0.7725143851197644
{'task_description': 0, 'ctr_description': 3, 'statement_description': 3, 'self_A': 0, 'self_B': 1, 'self_C': 0, 'answer_description': 3}, 0.7599893328592382
{'task_description': 0, 'ctr_description': 3, 'statement_description': 2, 'self_A': 0, 'self_B': 1, 'self_C': 0, 'answer_description': 6}, 0.7431935164700781
{'task_description': 0, 'ctr_description': 0, 'statement_description': 2, 'self_A': 0, 'self_B': 3, 'self_C': 0, 'answer_description': 7}, 0.7364294531745237
{'task_description': 1, 'ctr_description': 2, 'statement_description': 3, 'self_A': 0, 'self_B': 1, 'self_C': 0, 'answer_description': 7}, 0.7162852279175336
{'task_description': 0, 'ctr_description': 1, 'statement_description': 3, 'self_A': 0, 'self_B': 1, 'self_C': 0, 'answer_description': 6}, 0.7066145092460883
{'task_description': 0, 'ctr_description': 2, 'statement_description': 3, 'self_A': 0, 'self_B': 3, 'self_C': 0, 'answer_description': 6}, 0.7033300370004111
{'task_description': 0, 'ctr_description': 2, 'statement_description': 2, 'self_A': 0, 'self_B': 1, 'self_C': 2, 'answer_description': 3}, 0.698752977441502
{'task_description': 1, 'ctr_description': 0, 'statement_description': 3, 'self_A': 0, 'self_B': 4, 'self_C': 0, 'answer_description': 5}, 0.6962583028293594
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'self_A': 1, 'self_B': 4, 'self_C': 0, 'answer_description': 5}, 0.6945454545454546
{'task_description': 0, 'ctr_description': 0, 'statement_description': 3, 'self_A': 2, 'self_B': 1, 'self_C': 0, 'answer_description': 6}, 0.6766630740341559
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'self_A': 0, 'self_B': 1, 'self_C': 2, 'answer_description': 6}, 0.6563168026833273
{'task_description': 0, 'ctr_description': 2, 'statement_description': 2, 'self_A': 0, 'self_B': 4, 'self_C': 2, 'answer_description': 6}, 0.6454112393892
{'task_description': 1, 'ctr_description': 0, 'statement_description': 3, 'self_A': 2, 'self_B': 1, 'self_C': 0, 'answer_description': 7}, 0.6320085641643249
{'task_description': 0, 'ctr_description': 1, 'statement_description': 2, 'self_A': 2, 'self_B': 1, 'self_C': 1, 'answer_description': 4}, 0.6229855601005372
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 1, 'self_B': 1, 'self_C': 2, 'answer_description': 3}, 0.5977393200416046
{'task_description': 0, 'ctr_description': 1, 'statement_description': 3, 'self_A': 2, 'self_B': 3, 'self_C': 2, 'answer_description': 6}, 0.5895318175033584
{'task_description': 0, 'ctr_description': 0, 'statement_description': 3, 'self_A': 2, 'self_B': 1, 'self_C': 1, 'answer_description': 7}, 0.5805569900870375
