{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 1}, 0.7325865940109488
{'task_description': 2, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 0}, 0.72
{'task_description': 0, 'ctr_description': 1, 'statement_description': 3, 'highlight_description': 1, 'answer_description': 2}, 0.7151866544603804
{'task_description': 1, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 0}, 0.7137907659862921
{'task_description': 3, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 2, 'answer_description': 3}, 0.7133878064110623
{'task_description': 7, 'ctr_description': 7, 'statement_description': 8, 'highlight_description': 5, 'answer_description': 7}, 0.7098839535814325
{'task_description': 6, 'ctr_description': 4, 'statement_description': 5, 'highlight_description': 5, 'answer_description': 4}, 0.6849921248031201
{'task_description': 4, 'ctr_description': 4, 'statement_description': 5, 'highlight_description': 5, 'answer_description': 7}, 0.6821312343903732
{'task_description': 6, 'ctr_description': 8, 'statement_description': 8, 'highlight_description': 4, 'answer_description': 4}, 0.6683750376846548
{'task_description': 8, 'ctr_description': 4, 'statement_description': 9, 'highlight_description': 5, 'answer_description': 6}, 0.6649246080368083
{'task_description': 6, 'ctr_description': 6, 'statement_description': 5, 'highlight_description': 3, 'answer_description': 4}, 0.6598639455782312
{'task_description': 4, 'ctr_description': 4, 'statement_description': 7, 'highlight_description': 7, 'answer_description': 6}, 0.6549223575304444
{'task_description': 5, 'ctr_description': 8, 'statement_description': 5, 'highlight_description': 4, 'answer_description': 7}, 0.6542999574137629
{'task_description': 6, 'ctr_description': 5, 'statement_description': 8, 'highlight_description': 3, 'answer_description': 8}, 0.6447779862414009
{'task_description': 7, 'ctr_description': 4, 'statement_description': 6, 'highlight_description': 4, 'answer_description': 7}, 0.64349376114082
{'task_description': 7, 'ctr_description': 7, 'statement_description': 8, 'highlight_description': 5, 'answer_description': 5}, 0.6392190152801358
{'task_description': 7, 'ctr_description': 5, 'statement_description': 7, 'highlight_description': 4, 'answer_description': 8}, 0.6347402597402598
{'task_description': 5, 'ctr_description': 5, 'statement_description': 7, 'highlight_description': 3, 'answer_description': 4}, 0.6317135549872123
{'task_description': 8, 'ctr_description': 7, 'statement_description': 9, 'highlight_description': 4, 'answer_description': 4}, 0.6317135549872123
{'task_description': 7, 'ctr_description': 4, 'statement_description': 5, 'highlight_description': 6, 'answer_description': 8}, 0.6277948153390475
{'task_description': 4, 'ctr_description': 6, 'statement_description': 7, 'highlight_description': 6, 'answer_description': 4}, 0.616
{'task_description': 7, 'ctr_description': 5, 'statement_description': 7, 'highlight_description': 6, 'answer_description': 5}, 0.6101769796512384
{'task_description': 7, 'ctr_description': 4, 'statement_description': 6, 'highlight_description': 7, 'answer_description': 5}, 0.6086911749562351
{'task_description': 7, 'ctr_description': 7, 'statement_description': 6, 'highlight_description': 7, 'answer_description': 5}, 0.5920075321686369
{'task_description': 6, 'ctr_description': 6, 'statement_description': 7, 'highlight_description': 6, 'answer_description': 7}, 0.5882166613873931
