{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 1}, 0.7266929851199515
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'highlight_description': 2, 'answer_description': 3}, 0.7076318177235609
{'task_description': 1, 'ctr_description': 2, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 2}, 0.7050147492625369
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 0}, 0.7049926248156204
{'task_description': 2, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 0}, 0.696969696969697
{'task_description': 4, 'ctr_description': 7, 'statement_description': 2, 'highlight_description': 8, 'answer_description': 7}, 0.6743405395926751
{'task_description': 4, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 4, 'answer_description': 7}, 0.6659042430161137
{'task_description': 4, 'ctr_description': 7, 'statement_description': 2, 'highlight_description': 7, 'answer_description': 4}, 0.6583257964023717
{'task_description': 5, 'ctr_description': 6, 'statement_description': 6, 'highlight_description': 8, 'answer_description': 8}, 0.6511539725473343
{'task_description': 4, 'ctr_description': 4, 'statement_description': 5, 'highlight_description': 8, 'answer_description': 7}, 0.6482765551200884
{'task_description': 7, 'ctr_description': 7, 'statement_description': 5, 'highlight_description': 4, 'answer_description': 5}, 0.6453445041247976
{'task_description': 3, 'ctr_description': 7, 'statement_description': 2, 'highlight_description': 4, 'answer_description': 8}, 0.6430028559771522
{'task_description': 3, 'ctr_description': 7, 'statement_description': 4, 'highlight_description': 8, 'answer_description': 6}, 0.6282243894986123
{'task_description': 3, 'ctr_description': 3, 'statement_description': 5, 'highlight_description': 7, 'answer_description': 6}, 0.628178072555522
{'task_description': 7, 'ctr_description': 5, 'statement_description': 6, 'highlight_description': 7, 'answer_description': 6}, 0.6228786926461345
{'task_description': 7, 'ctr_description': 5, 'statement_description': 6, 'highlight_description': 8, 'answer_description': 4}, 0.6222709073052807
{'task_description': 4, 'ctr_description': 7, 'statement_description': 4, 'highlight_description': 6, 'answer_description': 8}, 0.620572260193872
{'task_description': 5, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 6, 'answer_description': 8}, 0.6072757337742869
{'task_description': 5, 'ctr_description': 7, 'statement_description': 4, 'highlight_description': 5, 'answer_description': 6}, 0.5999599959995999
{'task_description': 6, 'ctr_description': 5, 'statement_description': 6, 'highlight_description': 6, 'answer_description': 8}, 0.5996396757081373
{'task_description': 6, 'ctr_description': 6, 'statement_description': 4, 'highlight_description': 5, 'answer_description': 4}, 0.5949088544922607
{'task_description': 5, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 6, 'answer_description': 5}, 0.5626666666666666
{'task_description': 7, 'ctr_description': 4, 'statement_description': 3, 'highlight_description': 5, 'answer_description': 5}, 0.5599559955995599
{'task_description': 3, 'ctr_description': 4, 'statement_description': 6, 'highlight_description': 4, 'answer_description': 5}, 0.5578333835795397
{'task_description': 3, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 5, 'answer_description': 7}, 0.5354784832589576
